Trip_ID,Date,Time,Hour,Station_ID,Station,Station_Latitude,Station_Longitude,Trip_Count,Available_Bikes,Total_Bikes,Station_Utilisation_Percentage,Trip_Duration_min,Peak_Demand,Vehicle_Type
934,2025-01-01,1900-01-01 09:47:00,9.0,ST005,Electronic City Bike Station,12.846634,77.66138,61.0,75.0,111.0,54.95,28.6,Peak,Scooter
780,2025-01-01,1900-01-01 12:56:00,12.0,ST012,Rajajinagar Bike Station,12.999056,77.555442,62.0,47.0,86.0,72.09,10.6,Normal,EV Bike
179,2025-01-01,1900-01-01 18:34:00,18.0,ST012,Rajajinagar Bike Station,12.997165,77.555021,120.0,64.0,90.0,100.0,10.1,Peak,Scooter
177,2025-01-02,1900-01-01 02:06:00,2.0,ST015,JP Nagar Bike Station,12.909174,77.586388,38.0,76.0,117.0,32.48,27.5,Normal,EV Bike
115,2025-01-02,1900-01-01 10:44:00,10.0,ST004,Whitefield Bike Station,12.970123,77.749547,50.0,38.0,82.0,60.98,37.9,Peak,Scooter
895,2025-01-02,1900-01-01 19:28:00,19.0,ST010,Jayanagar Bike Station,12.925041,77.594091,104.0,23.0,64.0,100.0,35.9,Peak,Scooter
511,2025-01-02,1900-01-01 21:12:00,21.0,ST012,Rajajinagar Bike Station,12.998539,77.553446,19.0,7.0,39.0,48.72,24.2,Normal,Scooter
666,2025-01-03,1900-01-01 19:59:00,19.0,ST012,Rajajinagar Bike Station,12.99795,77.555506,52.0,19.0,50.0,100.0,25.9,Peak,EV Bike
521,2025-01-04,1900-01-01 02:25:00,2.0,ST004,Whitefield Bike Station,12.970149,77.750467,42.0,80.0,94.0,44.68,22.8,Normal,EV Bike
720,2025-01-04,1900-01-01 17:28:00,17.0,ST011,BTM Layout Bike Station,12.916334,77.60924,126.0,36.0,55.0,100.0,43.2,Peak,EV Bike
797,2025-01-04,1900-01-01 20:14:00,20.0,ST013,Malleshwaram Bike Station,13.003191,77.571559,73.0,53.0,98.0,74.49,24.8,Peak,Scooter
882,2025-01-05,1900-01-01 04:56:00,4.0,ST005,Electronic City Bike Station,12.845256,77.659403,27.0,57.0,100.0,27.0,15.1,Normal,Scooter
641,2025-01-05,1900-01-01 10:39:00,10.0,ST002,Koramangala Bike Station,12.936071,77.625295,34.0,48.0,83.0,40.96,18.7,Peak,EV Bike
757,2025-01-05,1900-01-01 18:37:00,18.0,ST008,Marathahalli Bike Station,12.959428,77.696664,50.0,73.0,86.0,58.14,12.9,Peak,Scooter
47,2025-01-06,1900-01-01 10:20:00,10.0,ST015,JP Nagar Bike Station,12.908087,77.584717,37.0,21.0,63.0,58.73,41.9,Peak,Scooter
703,2025-01-06,1900-01-01 11:51:00,11.0,ST003,Indiranagar Bike Station,12.977989,77.640743,48.0,46.0,80.0,60.0,23.5,Normal,Scooter
836,2025-01-06,1900-01-01 19:27:00,19.0,ST011,BTM Layout Bike Station,12.916872,77.609436,70.0,61.0,83.0,84.34,9.0,Peak,Scooter
368,2025-01-07,1900-01-01 05:29:00,5.0,ST010,Jayanagar Bike Station,12.923599,77.594738,29.0,38.0,49.0,59.18,37.3,Normal,EV Bike
578,2025-01-07,1900-01-01 06:41:00,6.0,ST014,Banashankari Bike Station,12.924748,77.545945,15.0,53.0,86.0,17.44,44.1,Normal,EV Bike
908,2025-01-07,1900-01-01 07:39:00,7.0,ST005,Electronic City Bike Station,12.844651,77.661655,45.0,22.0,58.0,77.59,43.0,Normal,Scooter
567,2025-01-07,1900-01-01 19:33:00,19.0,ST011,BTM Layout Bike Station,12.916111,77.610838,109.0,50.0,73.0,100.0,37.6,Peak,EV Bike
637,2025-01-07,1900-01-01 20:33:00,20.0,ST003,Indiranagar Bike Station,12.977953,77.64042,115.0,46.0,74.0,100.0,11.9,Peak,EV Bike
163,2025-01-08,1900-01-01 13:48:00,13.0,ST007,Hebbal Bike Station,13.035461,77.596036,59.0,48.0,73.0,80.82,10.7,Normal,Scooter
843,2025-01-08,1900-01-01 17:23:00,17.0,ST005,Electronic City Bike Station,12.846727,77.661557,48.0,26.0,68.0,70.59,24.6,Peak,Scooter
219,2025-01-08,1900-01-01 18:24:00,18.0,ST006,Yelahanka Bike Station,13.101601,77.596775,106.0,43.0,70.0,100.0,29.8,Peak,Scooter
700,2025-01-08,1900-01-01 21:23:00,21.0,ST013,Malleshwaram Bike Station,13.003659,77.570354,48.0,14.0,64.0,75.0,22.5,Normal,EV Bike
361,2025-01-09,1900-01-01 03:27:00,3.0,ST006,Yelahanka Bike Station,13.101053,77.596871,61.0,16.0,61.0,100.0,11.1,Normal,EV Bike
168,2025-01-09,1900-01-01 08:26:00,8.0,ST008,Marathahalli Bike Station,12.958746,77.697194,91.0,38.0,54.0,100.0,44.4,Peak,Scooter
401,2025-01-10,1900-01-01 06:59:00,6.0,ST006,Yelahanka Bike Station,13.09968,77.59487,32.0,65.0,87.0,36.78,39.4,Normal,EV Bike
229,2025-01-10,1900-01-01 07:49:00,7.0,ST015,JP Nagar Bike Station,12.909256,77.585031,56.0,40.0,54.0,100.0,30.7,Normal,EV Bike
716,2025-01-10,1900-01-01 14:00:00,14.0,ST012,Rajajinagar Bike Station,12.998325,77.553774,54.0,59.0,96.0,56.25,43.0,Normal,EV Bike
478,2025-01-10,1900-01-01 20:16:00,20.0,ST006,Yelahanka Bike Station,13.100485,77.597703,75.0,38.0,74.0,100.0,44.3,Peak,Scooter
499,2025-01-11,1900-01-01 00:28:00,0.0,ST011,BTM Layout Bike Station,12.916019,77.610251,39.0,50.0,60.0,65.0,27.8,Normal,EV Bike
699,2025-01-11,1900-01-01 03:34:00,3.0,ST005,Electronic City Bike Station,12.844134,77.660899,63.0,42.0,78.0,80.77,11.3,Normal,EV Bike
684,2025-01-11,1900-01-01 03:37:00,3.0,ST004,Whitefield Bike Station,12.969879,77.749757,52.0,62.0,104.0,50.0,15.1,Normal,EV Bike
814,2025-01-12,1900-01-01 15:40:00,15.0,ST015,JP Nagar Bike Station,12.90738,77.584804,24.0,44.0,79.0,30.38,18.6,Normal,EV Bike
583,2025-01-13,1900-01-01 02:25:00,2.0,ST008,Marathahalli Bike Station,12.95959,77.697851,59.0,14.0,63.0,93.65,38.6,Normal,Scooter
517,2025-01-13,1900-01-01 04:07:00,4.0,ST002,Koramangala Bike Station,12.934927,77.625149,67.0,61.0,104.0,64.42,20.5,Normal,EV Bike
320,2025-01-13,1900-01-01 04:23:00,4.0,ST008,Marathahalli Bike Station,12.960071,77.697935,52.0,64.0,101.0,51.49,20.3,Normal,EV Bike
856,2025-01-13,1900-01-01 10:50:00,10.0,ST008,Marathahalli Bike Station,12.959421,77.696462,90.0,16.0,26.0,100.0,14.3,Peak,Scooter
493,2025-01-13,1900-01-01 13:47:00,13.0,ST006,Yelahanka Bike Station,13.101197,77.595784,68.0,73.0,101.0,67.33,36.5,Normal,EV Bike
380,2025-01-13,1900-01-01 18:38:00,18.0,ST009,HSR Layout Bike Station,12.912993,77.63917,106.0,41.0,74.0,100.0,36.9,Peak,EV Bike
865,2025-01-14,1900-01-01 12:07:00,12.0,ST011,BTM Layout Bike Station,12.916813,77.609921,33.0,72.0,113.0,29.2,43.6,Normal,Scooter
225,2025-01-14,1900-01-01 17:46:00,17.0,ST011,BTM Layout Bike Station,12.916448,77.611199,84.0,62.0,98.0,85.71,21.7,Peak,Scooter
447,2025-01-14,1900-01-01 20:20:00,20.0,ST014,Banashankari Bike Station,12.925958,77.547958,45.0,59.0,78.0,57.69,7.0,Peak,EV Bike
810,2025-01-14,1900-01-01 22:59:00,22.0,ST008,Marathahalli Bike Station,12.957928,77.698547,57.0,67.0,80.0,71.25,29.2,Normal,EV Bike
997,2025-01-15,1900-01-01 02:52:00,2.0,ST013,Malleshwaram Bike Station,13.00387,77.570263,57.0,16.0,44.0,100.0,23.1,Normal,EV Bike
553,2025-01-15,1900-01-01 08:24:00,8.0,ST006,Yelahanka Bike Station,13.099715,77.594871,111.0,44.0,68.0,100.0,8.9,Peak,Scooter
614,2025-01-15,1900-01-01 15:41:00,15.0,ST002,Koramangala Bike Station,12.936585,77.625156,64.0,46.0,79.0,81.01,14.0,Normal,EV Bike
513,2025-01-15,1900-01-01 22:29:00,22.0,ST004,Whitefield Bike Station,12.968705,77.749808,66.0,53.0,85.0,77.65,12.3,Normal,EV Bike
182,2025-01-16,1900-01-01 09:15:00,9.0,ST014,Banashankari Bike Station,12.926875,77.545811,86.0,16.0,47.0,100.0,12.6,Peak,Scooter
275,2025-01-16,1900-01-01 20:42:00,20.0,ST002,Koramangala Bike Station,12.934742,77.623794,100.0,54.0,96.0,100.0,29.9,Peak,Scooter
618,2025-01-17,1900-01-01 01:18:00,1.0,ST006,Yelahanka Bike Station,13.100039,77.597054,29.0,60.0,83.0,34.94,13.9,Normal,EV Bike
28,2025-01-17,1900-01-01 08:11:00,8.0,ST012,Rajajinagar Bike Station,12.998408,77.553201,52.0,54.0,79.0,65.82,11.0,Peak,EV Bike
