Record_ID,Date,Hour,Location,Weather_Condition,Transportation_Mode,Demand
361,2025-01-01,5,MG Road,Sunny,Metro,160
319,2025-01-02,0,Whitefield,Rainy,Scooter,104
756,2025-01-02,10,Electronic City,Rainy,Scooter,164
736,2025-01-02,15,Indiranagar,Cloudy,Car,168
4,2025-01-02,19,Koramangala,Sunny,Bike,276
317,2025-01-03,5,Whitefield,Sunny,Scooter,197
176,2025-01-03,7,Indiranagar,Cloudy,Bike,234
81,2025-01-03,11,MG Road,Foggy,Bus,215
200,2025-01-03,19,Marathahalli,Foggy,Metro,261
826,2025-01-03,22,HSR Layout,Windy,Scooter,173
144,2025-01-04,1,Electronic City,Sunny,Metro,187
758,2025-01-04,3,Yelahanka,Rainy,Bike,69
704,2025-01-04,4,Koramangala,Rainy,Metro,224
850,2025-01-05,7,Jayanagar,Windy,Metro,284
197,2025-01-06,0,HSR Layout,Rainy,Scooter,125
788,2025-01-06,0,Koramangala,Windy,Scooter,130
518,2025-01-06,8,Electronic City,Cloudy,Bike,220
111,2025-01-06,8,Hebbal,Foggy,Metro,260
266,2025-01-06,11,Jayanagar,Foggy,Bike,107
479,2025-01-07,9,Marathahalli,Cloudy,Bike,254
916,2025-01-07,9,Hebbal,Rainy,Bus,290
706,2025-01-07,11,Jayanagar,Rainy,Metro,226
369,2025-01-07,11,Marathahalli,Rainy,Scooter,98
218,2025-01-07,13,Yelahanka,Foggy,Bus,189
607,2025-01-08,17,Yelahanka,Cloudy,Metro,253
592,2025-01-09,1,Indiranagar,Sunny,Scooter,170
170,2025-01-09,15,MG Road,Cloudy,Bus,186
938,2025-01-09,17,Koramangala,Sunny,Bike,298
972,2025-01-11,1,Hebbal,Rainy,Car,179
350,2025-01-11,5,Marathahalli,Cloudy,Scooter,184
735,2025-01-11,17,Hebbal,Sunny,Car,194
631,2025-01-11,17,MG Road,Windy,Metro,252
896,2025-01-12,2,MG Road,Cloudy,Metro,210
629,2025-01-12,10,Hebbal,Cloudy,Scooter,235
64,2025-01-13,9,Koramangala,Rainy,Metro,332
978,2025-01-13,15,Marathahalli,Sunny,Bike,212
13,2025-01-13,18,Jayanagar,Cloudy,Scooter,214
336,2025-01-13,21,Jayanagar,Foggy,Scooter,110
486,2025-01-13,23,Hebbal,Rainy,Scooter,105
35,2025-01-14,0,Electronic City,Foggy,Bus,185
163,2025-01-14,3,Jayanagar,Windy,Bike,120
50,2025-01-14,11,Yelahanka,Cloudy,Metro,195
338,2025-01-14,23,Indiranagar,Rainy,Scooter,105
970,2025-01-15,2,HSR Layout,Windy,Metro,205
92,2025-01-15,3,Koramangala,Foggy,Bike,113
220,2025-01-15,3,HSR Layout,Cloudy,Scooter,161
919,2025-01-15,11,Electronic City,Windy,Bus,201
526,2025-01-15,14,Koramangala,Windy,Bike,148
71,2025-01-15,21,Electronic City,Foggy,Car,170
91,2025-01-16,5,Indiranagar,Rainy,Car,179
622,2025-01-16,9,MG Road,Foggy,Bike,163
559,2025-01-16,15,Yelahanka,Foggy,Scooter,136
754,2025-01-16,20,Indiranagar,Cloudy,Scooter,261
647,2025-01-17,17,Electronic City,Cloudy,Bike,231
977,2025-01-18,5,Indiranagar,Cloudy,Car,135
178,2025-01-19,6,Jayanagar,Foggy,Bike,118
653,2025-01-19,6,Hebbal,Rainy,Bike,90
734,2025-01-19,11,Electronic City,Windy,Metro,190
584,2025-01-19,22,Koramangala,Sunny,Bike,217
589,2025-01-19,22,Whitefield,Rainy,Metro,220
318,2025-01-20,1,Whitefield,Rainy,Bike,100
313,2025-01-20,11,MG Road,Windy,Bike,122
212,2025-01-20,23,Indiranagar,Foggy,Scooter,129
767,2025-01-21,6,Jayanagar,Rainy,Car,170
645,2025-01-21,15,Hebbal,Windy,Scooter,174
360,2025-01-22,6,Hebbal,Sunny,Scooter,176
299,2025-01-22,8,MG Road,Rainy,Bike,130
991,2025-01-22,11,Indiranagar,Cloudy,Scooter,173
585,2025-01-23,4,Yelahanka,Cloudy,Scooter,152
534,2025-01-23,5,HSR Layout,Windy,Car,150
575,2025-01-23,8,Jayanagar,Cloudy,Metro,238
249,2025-01-23,19,Jayanagar,Sunny,Metro,245
891,2025-01-24,5,HSR Layout,Cloudy,Scooter,186
987,2025-01-24,23,Koramangala,Cloudy,Metro,205
232,2025-01-25,13,Koramangala,Cloudy,Bus,180
41,2025-01-25,14,MG Road,Cloudy,Bus,185
565,2025-01-25,16,Whitefield,Windy,Bus,160
739,2025-01-25,23,HSR Layout,Rainy,Bus,206
900,2025-01-26,2,Yelahanka,Foggy,Metro,192
774,2025-01-26,9,Marathahalli,Foggy,Car,241
311,2025-01-27,0,MG Road,Foggy,Bike,118
659,2025-01-27,11,Koramangala,Sunny,Bus,180
861,2025-01-27,20,Electronic City,Windy,Car,203
395,2025-01-27,22,Electronic City,Windy,Scooter,147
250,2025-01-28,3,Marathahalli,Rainy,Bus,206
662,2025-01-28,7,Yelahanka,Cloudy,Bus,234
252,2025-01-30,2,Hebbal,Cloudy,Scooter,153
875,2025-01-30,23,Marathahalli,Foggy,Scooter,147
489,2025-01-31,5,Hebbal,Windy,Bike,113
918,2025-01-31,20,Jayanagar,Windy,Bus,246
656,2025-02-01,7,Hebbal,Windy,Scooter,202
137,2025-02-01,21,Electronic City,Sunny,Metro,200
624,2025-02-03,18,Marathahalli,Sunny,Car,200
590,2025-02-04,12,Koramangala,Sunny,Car,140
848,2025-02-04,16,Indiranagar,Windy,Scooter,152
487,2025-02-05,2,Yelahanka,Windy,Scooter,155
462,2025-02-05,12,Electronic City,Cloudy,Metro,209
421,2025-02-06,1,Hebbal,Sunny,Car,150
413,2025-02-06,2,Electronic City,Rainy,Metro,244
553,2025-02-06,13,Koramangala,Rainy,Car,206
277,2025-02-06,15,Indiranagar,Rainy,Metro,224
772,2025-02-06,22,HSR Layout,Cloudy,Scooter,150
355,2025-02-06,23,Koramangala,Windy,Bike,151
484,2025-02-07,10,Indiranagar,Foggy,Bus,256
552,2025-02-07,12,Whitefield,Foggy,Bus,213
357,2025-02-07,13,MG Road,Rainy,Car,193
794,2025-02-08,7,HSR Layout,Rainy,Scooter,118
436,2025-02-08,16,MG Road,Windy,Scooter,146
709,2025-02-08,23,Koramangala,Sunny,Scooter,185
670,2025-02-09,1,Yelahanka,Rainy,Scooter,96
853,2025-02-09,15,Whitefield,Sunny,Scooter,169
130,2025-02-09,17,Jayanagar,Cloudy,Metro,258
116,2025-02-10,17,MG Road,Cloudy,Car,220
776,2025-02-10,19,Marathahalli,Rainy,Bus,268
503,2025-02-10,19,Hebbal,Foggy,Metro,298
160,2025-02-11,18,HSR Layout,Sunny,Bike,292
720,2025-02-12,18,Electronic City,Rainy,Bus,277
86,2025-02-13,4,Electronic City,Windy,Metro,205
781,2025-02-13,7,Koramangala,Cloudy,Bike,222
961,2025-02-15,4,Jayanagar,Sunny,Car,107
74,2025-02-15,5,Jayanagar,Foggy,Bike,131
520,2025-02-15,8,Koramangala,Cloudy,Scooter,232
576,2025-02-15,14,Jayanagar,Cloudy,Bike,180
187,2025-02-15,14,Whitefield,Foggy,Scooter,120
230,2025-02-16,0,HSR Layout,Windy,Bus,159
150,2025-02-16,6,Koramangala,Cloudy,Bike,203
868,2025-02-16,6,Koramangala,Foggy,Bus,183
279,2025-02-16,6,MG Road,Cloudy,Car,120
407,2025-02-16,11,Yelahanka,Sunny,Scooter,205
10,2025-02-16,12,Koramangala,Foggy,Car,176
775,2025-02-16,15,Electronic City,Foggy,Metro,182
748,2025-02-17,2,Electronic City,Windy,Bus,199
752,2025-02-17,16,Hebbal,Rainy,Bike,109
482,2025-02-17,16,Electronic City,Cloudy,Car,126
117,2025-02-18,4,Whitefield,Rainy,Scooter,109
48,2025-02-18,6,HSR Layout,Cloudy,Bike,160
539,2025-02-18,17,Whitefield,Sunny,Bike,290
203,2025-02-19,7,Marathahalli,Rainy,Bus,269
54,2025-02-19,13,MG Road,Cloudy,Bike,198
935,2025-02-20,0,HSR Layout,Cloudy,Metro,165
679,2025-02-20,7,Yelahanka,Rainy,Scooter,161
22,2025-02-20,14,Indiranagar,Foggy,Metro,208
654,2025-02-21,5,MG Road,Cloudy,Car,161
578,2025-02-21,22,MG Road,Windy,Scooter,134
990,2025-02-22,10,Marathahalli,Foggy,Metro,297
206,2025-02-22,19,Whitefield,Foggy,Bike,143
695,2025-02-23,0,Indiranagar,Sunny,Metro,194
256,2025-02-23,2,Indiranagar,Foggy,Bus,167
740,2025-02-23,18,Whitefield,Windy,Bus,253
944,2025-02-24,17,Jayanagar,Sunny,Bus,221
958,2025-02-24,21,Koramangala,Sunny,Bike,225
95,2025-02-24,23,Yelahanka,Sunny,Bus,146
120,2025-02-25,0,Indiranagar,Rainy,Bus,192
234,2025-02-25,11,Yelahanka,Cloudy,Bike,164
255,2025-02-25,13,Koramangala,Cloudy,Bike,199
449,2025-02-26,16,Hebbal,Sunny,Bus,178
390,2025-02-27,0,Yelahanka,Sunny,Car,138
951,2025-02-27,11,Marathahalli,Rainy,Bike,69
398,2025-02-27,13,Yelahanka,Windy,Bus,183
920,2025-02-27,17,Electronic City,Sunny,Bike,270
902,2025-02-27,18,Indiranagar,Sunny,Bike,302
478,2025-02-28,7,Electronic City,Cloudy,Bus,215
417,2025-03-01,0,Koramangala,Sunny,Scooter,180
223,2025-03-01,6,Yelahanka,Windy,Bike,139
834,2025-03-01,10,Indiranagar,Cloudy,Metro,259
406,2025-03-02,5,HSR Layout,Foggy,Metro,227
741,2025-03-02,8,MG Road,Foggy,Car,227
1,2025-03-02,10,Koramangala,Foggy,Car,246
874,2025-03-02,13,HSR Layout,Foggy,Scooter,157
671,2025-03-02,17,Jayanagar,Foggy,Metro,283
610,2025-03-02,20,Koramangala,Sunny,Bike,308
354,2025-03-03,1,HSR Layout,Sunny,Bus,142
473,2025-03-03,3,HSR Layout,Rainy,Car,183
780,2025-03-03,10,Indiranagar,Sunny,Bus,185
883,2025-03-03,11,HSR Layout,Sunny,Car,145
97,2025-03-03,17,HSR Layout,Foggy,Scooter,179
302,2025-03-03,22,MG Road,Rainy,Bike,105
290,2025-03-04,1,Indiranagar,Foggy,Bus,187
697,2025-03-04,8,MG Road,Cloudy,Car,186
288,2025-03-04,8,Whitefield,Sunny,Scooter,258
481,2025-03-04,9,Yelahanka,Cloudy,Scooter,232
806,2025-03-05,0,Indiranagar,Sunny,Scooter,189
228,2025-03-05,2,HSR Layout,Rainy,Scooter,89
890,2025-03-05,4,Yelahanka,Rainy,Metro,248
133,2025-03-06,16,HSR Layout,Cloudy,Metro,209
500,2025-03-07,4,Whitefield,Windy,Metro,190
392,2025-03-07,5,Koramangala,Sunny,Bus,131
139,2025-03-07,14,MG Road,Cloudy,Scooter,194
42,2025-03-08,20,Jayanagar,Foggy,Scooter,207
954,2025-03-09,4,HSR Layout,Foggy,Bike,120
862,2025-03-09,9,Electronic City,Sunny,Metro,260
516,2025-03-09,13,Indiranagar,Rainy,Metro,225
366,2025-03-09,23,Indiranagar,Sunny,Scooter,176
124,2025-03-10,0,HSR Layout,Windy,Metro,186
895,2025-03-10,2,HSR Layout,Foggy,Bus,198
634,2025-03-10,15,Indiranagar,Sunny,Bus,140
337,2025-03-10,22,Indiranagar,Rainy,Scooter,120
910,2025-03-11,10,HSR Layout,Windy,Bike,190
832,2025-03-11,13,Whitefield,Sunny,Scooter,204
134,2025-03-11,17,Marathahalli,Rainy,Metro,326
32,2025-03-11,18,Marathahalli,Rainy,Car,264
328,2025-03-11,18,Electronic City,Foggy,Car,211
273,2025-03-11,19,Jayanagar,Rainy,Car,241
946,2025-03-12,1,Marathahalli,Windy,Bike,138
43,2025-03-12,5,Marathahalli,Cloudy,Bus,157
322,2025-03-12,13,Koramangala,Windy,Bike,142
983,2025-03-12,15,Electronic City,Rainy,Car,175
363,2025-03-12,19,Whitefield,Rainy,Bike,122
465,2025-03-13,0,HSR Layout,Sunny,Car,110
549,2025-03-13,1,Indiranagar,Cloudy,Bus,164
866,2025-03-13,9,Electronic City,Sunny,Car,200
603,2025-03-13,17,MG Road,Rainy,Bike,92
815,2025-03-15,3,Yelahanka,Sunny,Scooter,173
508,2025-03-15,13,HSR Layout,Foggy,Bike,110
764,2025-03-16,4,Yelahanka,Cloudy,Car,138
25,2025-03-16,14,HSR Layout,Sunny,Bike,185
490,2025-03-16,17,Yelahanka,Windy,Metro,285
287,2025-03-16,21,Hebbal,Windy,Bus,162
873,2025-03-16,21,Electronic City,Windy,Car,185
594,2025-03-17,0,Whitefield,Rainy,Metro,241
72,2025-03-17,7,Jayanagar,Sunny,Bike,276
821,2025-03-17,10,Electronic City,Foggy,Scooter,168
943,2025-03-17,12,Whitefield,Cloudy,Metro,170
496,2025-03-18,12,MG Road,Rainy,Metro,244
33,2025-03-18,16,Koramangala,Cloudy,Bus,140
323,2025-03-18,19,Hebbal,Windy,Bus,219
77,2025-03-19,23,Whitefield,Windy,Metro,220
993,2025-03-20,13,Hebbal,Rainy,Metro,243
1000,2025-03-21,3,Hebbal,Windy,Bike,137
143,2025-03-21,10,HSR Layout,Cloudy,Car,173
974,2025-03-21,18,Koramangala,Rainy,Metro,334
897,2025-03-21,18,Whitefield,Foggy,Scooter,204
952,2025-03-21,23,Hebbal,Foggy,Metro,206
909,2025-03-22,1,Whitefield,Cloudy,Bike,163
833,2025-03-22,10,Hebbal,Foggy,Scooter,191
439,2025-03-22,13,Koramangala,Windy,Car,169
879,2025-03-22,13,Indiranagar,Rainy,Metro,220
454,2025-03-22,21,Yelahanka,Rainy,Bus,238
399,2025-03-23,2,Hebbal,Rainy,Bike,104
264,2025-03-23,22,Whitefield,Rainy,Bike,66
678,2025-03-24,2,Marathahalli,Rainy,Metro,251
67,2025-03-25,19,Indiranagar,Sunny,Bike,260
208,2025-03-26,3,Yelahanka,Cloudy,Bus,148
188,2025-03-26,17,Hebbal,Cloudy,Car,219
573,2025-03-26,20,Electronic City,Rainy,Bike,130
426,2025-03-26,20,Jayanagar,Sunny,Car,192
842,2025-03-27,2,HSR Layout,Sunny,Scooter,194
562,2025-03-27,3,HSR Layout,Foggy,Bus,167
405,2025-03-27,14,Whitefield,Sunny,Scooter,198
746,2025-03-28,2,HSR Layout,Cloudy,Bus,183
325,2025-03-28,6,Whitefield,Foggy,Car,149
888,2025-03-28,7,Whitefield,Foggy,Bus,246
356,2025-03-28,8,Hebbal,Cloudy,Scooter,251
933,2025-03-28,15,Yelahanka,Windy,Scooter,132
604,2025-03-28,18,Electronic City,Rainy,Car,249
181,2025-03-28,20,MG Road,Sunny,Metro,224
568,2025-03-28,21,Indiranagar,Cloudy,Bus,184
466,2025-03-29,4,Hebbal,Foggy,Bike,103
452,2025-03-29,4,Electronic City,Sunny,Scooter,197
959,2025-03-29,11,MG Road,Windy,Scooter,154
928,2025-03-29,16,Marathahalli,Sunny,Bus,161
305,2025-03-29,18,HSR Layout,Rainy,Bus,282
402,2025-03-30,2,MG Road,Foggy,Car,181
924,2025-03-30,3,Whitefield,Windy,Scooter,148
927,2025-03-30,17,HSR Layout,Cloudy,Bike,237
387,2025-03-31,1,Indiranagar,Cloudy,Car,147
997,2025-04-01,13,Hebbal,Windy,Car,163
138,2025-04-02,4,Hebbal,Rainy,Car,214
272,2025-04-02,11,Yelahanka,Windy,Bike,150
882,2025-04-02,21,Hebbal,Windy,Bus,200
388,2025-04-03,1,Marathahalli,Foggy,Car,173
613,2025-04-04,3,Indiranagar,Windy,Bike,114
811,2025-04-05,13,Jayanagar,Rainy,Bike,93
580,2025-04-06,9,Hebbal,Windy,Car,219
140,2025-04-06,21,Yelahanka,Cloudy,Bus,181
448,2025-04-07,18,Marathahalli,Rainy,Metro,332
89,2025-04-07,23,HSR Layout,Sunny,Car,146
222,2025-04-08,11,Koramangala,Sunny,Car,110
533,2025-04-08,12,Marathahalli,Rainy,Car,196
227,2025-04-08,17,Indiranagar,Windy,Metro,276
180,2025-04-08,20,Koramangala,Windy,Bike,175
514,2025-04-09,0,MG Road,Foggy,Bike,126
996,2025-04-09,0,Whitefield,Cloudy,Scooter,182
577,2025-04-09,19,Jayanagar,Foggy,Metro,276
609,2025-04-10,1,Indiranagar,Foggy,Metro,203
857,2025-04-10,14,Jayanagar,Rainy,Metro,236
525,2025-04-10,16,Yelahanka,Cloudy,Scooter,187
270,2025-04-10,17,Electronic City,Rainy,Bike,114
443,2025-04-10,21,Marathahalli,Foggy,Car,186
792,2025-04-10,22,Marathahalli,Windy,Car,164
755,2025-04-11,5,Hebbal,Rainy,Metro,231
931,2025-04-11,14,HSR Layout,Windy,Bus,170
326,2025-04-11,15,Koramangala,Sunny,Scooter,196
40,2025-04-11,20,Jayanagar,Cloudy,Bike,259
125,2025-04-12,11,Marathahalli,Rainy,Car,216
312,2025-04-12,19,Whitefield,Cloudy,Bus,210
20,2025-04-13,8,HSR Layout,Windy,Bus,250
581,2025-04-14,1,Indiranagar,Sunny,Metro,152
18,2025-04-14,9,Indiranagar,Rainy,Bike,92
599,2025-04-14,21,Electronic City,Foggy,Bike,97
738,2025-04-15,2,Yelahanka,Windy,Bike,158
831,2025-04-15,6,Yelahanka,Windy,Metro,190
962,2025-04-15,6,Koramangala,Cloudy,Scooter,164
926,2025-04-15,15,HSR Layout,Sunny,Car,132
152,2025-04-15,20,MG Road,Windy,Scooter,211
586,2025-04-16,1,Electronic City,Windy,Metro,220
860,2025-04-16,4,Electronic City,Rainy,Car,183
789,2025-04-16,18,Indiranagar,Sunny,Metro,217
276,2025-04-17,9,Marathahalli,Sunny,Metro,254
241,2025-04-17,22,Hebbal,Foggy,Bus,175
403,2025-04-18,6,Marathahalli,Cloudy,Bike,163
555,2025-04-18,23,HSR Layout,Windy,Car,179
540,2025-04-19,3,MG Road,Windy,Car,146
103,2025-04-19,4,Indiranagar,Windy,Car,177
675,2025-04-20,3,Koramangala,Sunny,Car,126
365,2025-04-20,16,Hebbal,Windy,Bike,124
400,2025-04-21,9,Yelahanka,Rainy,Bus,306
367,2025-04-21,22,HSR Layout,Foggy,Bus,178
396,2025-04-22,2,Marathahalli,Windy,Bus,172
282,2025-04-23,1,HSR Layout,Rainy,Car,215
267,2025-04-23,6,Electronic City,Rainy,Metro,210
618,2025-04-23,23,Yelahanka,Foggy,Metro,194
527,2025-04-25,2,MG Road,Windy,Metro,201
2,2025-04-25,19,Yelahanka,Foggy,Car,231
304,2025-04-26,8,Electronic City,Foggy,Metro,252
298,2025-04-26,9,HSR Layout,Foggy,Bus,260
147,2025-04-26,21,Indiranagar,Windy,Scooter,153
216,2025-04-26,22,Yelahanka,Foggy,Car,163
375,2025-04-27,12,MG Road,Sunny,Metro,171
331,2025-04-28,10,Marathahalli,Sunny,Bus,215
606,2025-04-28,10,Koramangala,Windy,Bus,227
574,2025-04-29,10,Marathahalli,Sunny,Car,178
887,2025-04-29,11,HSR Layout,Sunny,Car,124
446,2025-04-29,20,Yelahanka,Rainy,Bike,117
953,2025-04-30,7,Hebbal,Foggy,Bus,270
106,2025-04-30,10,Koramangala,Cloudy,Car,220
669,2025-05-01,3,HSR Layout,Windy,Car,155
904,2025-05-01,3,Hebbal,Sunny,Scooter,167
822,2025-05-01,13,Electronic City,Cloudy,Bike,190
733,2025-05-01,20,HSR Layout,Windy,Metro,246
195,2025-05-02,3,Yelahanka,Windy,Scooter,149
70,2025-05-03,13,Jayanagar,Cloudy,Scooter,161
296,2025-05-03,23,Whitefield,Rainy,Car,175
790,2025-05-04,4,HSR Layout,Rainy,Bike,64
166,2025-05-04,10,Whitefield,Windy,Scooter,209
186,2025-05-05,1,Jayanagar,Sunny,Bus,154
805,2025-05-05,11,HSR Layout,Windy,Scooter,130
637,2025-05-06,20,Whitefield,Sunny,Scooter,236
243,2025-05-07,0,Hebbal,Cloudy,Car,158
27,2025-05-07,3,Jayanagar,Foggy,Bike,138
6,2025-05-09,11,Jayanagar,Rainy,Bus,237
248,2025-05-09,15,HSR Layout,Sunny,Metro,176
240,2025-05-09,16,Electronic City,Windy,Metro,196
819,2025-05-09,21,Hebbal,Foggy,Car,160
201,2025-05-10,0,Indiranagar,Windy,Car,153
749,2025-05-10,13,Indiranagar,Rainy,Bike,70
667,2025-05-10,18,Whitefield,Windy,Bike,167
829,2025-05-10,19,Electronic City,Cloudy,Scooter,234
979,2025-05-10,20,Marathahalli,Rainy,Bus,276
164,2025-05-11,0,Yelahanka,Sunny,Bike,233
333,2025-05-11,17,Koramangala,Sunny,Scooter,248
233,2025-05-11,22,Marathahalli,Foggy,Car,160
371,2025-05-12,4,Koramangala,Windy,Bus,172
956,2025-05-12,4,MG Road,Sunny,Bus,140
849,2025-05-13,0,Whitefield,Windy,Car,161
712,2025-05-13,1,Koramangala,Cloudy,Bus,170
12,2025-05-13,13,Jayanagar,Foggy,Bus,197
725,2025-05-13,16,Indiranagar,Windy,Bike,153
872,2025-05-13,18,Hebbal,Rainy,Scooter,138
352,2025-05-14,7,Marathahalli,Cloudy,Bus,216
731,2025-05-14,7,Yelahanka,Cloudy,Car,204
57,2025-05-14,8,Electronic City,Sunny,Bike,284
394,2025-05-14,9,Indiranagar,Cloudy,Bus,231
