Date,Mode,Trip_Count,Weather_Condition
2025-01-01,Bus,2223.0,Cloudy
2025-01-02,Bus,870.0,Cloudy
2025-01-02,Metro,768.0,Cloudy
2025-01-03,Bus,181.0,Rainy
2025-01-03,Metro,2934.0,Rainy
2025-01-04,Bus,926.0,Cloudy
2025-01-05,Metro,3194.0,Cloudy
2025-01-06,Bus,6356.0,Cloudy
2025-01-08,Metro,161.0,Rainy
2025-01-09,Bus,3186.0,Rainy
2025-01-10,Bus,829.0,Rainy
2025-01-12,Metro,1292.0,Rainy
2025-01-14,Bus,1380.0,Rainy
2025-01-14,Metro,129.0,Rainy
2025-01-16,Bus,559.0,Cloudy
2025-01-17,Bus,901.0,Cloudy
2025-01-18,Metro,694.0,Sunny
2025-01-19,Bus,3067.0,Cloudy
2025-01-20,Bus,871.0,Sunny
2025-01-21,Bus,197.0,Rainy
2025-01-21,Metro,3816.0,Rainy
2025-01-22,Bus,1374.0,Rainy
2025-01-22,Metro,1123.0,Rainy
2025-01-23,Bus,657.0,Sunny
2025-01-23,Metro,1714.0,Sunny
2025-01-24,Bus,1539.0,Rainy
2025-01-24,Metro,2518.0,Rainy
2025-01-25,Bus,658.0,Rainy
2025-01-26,Bus,3278.0,Cloudy
2025-01-26,Metro,3436.0,Cloudy
2025-01-27,Bus,1811.0,Sunny
2025-01-27,Metro,2370.0,Sunny
2025-01-28,Bus,1230.0,Rainy
2025-01-28,Metro,945.0,Rainy
2025-01-29,Bus,1031.0,Sunny
2025-01-30,Metro,1649.0,Sunny
2025-01-31,Bus,1913.0,Sunny
2025-01-31,Metro,376.0,Sunny
2025-02-01,Bus,1116.0,Rainy
2025-02-02,Bus,2987.0,Rainy
2025-02-02,Metro,607.0,Rainy
2025-02-03,Bus,1624.0,Sunny
2025-02-03,Metro,371.0,Sunny
2025-02-04,Bus,1817.0,Cloudy
2025-02-05,Metro,561.0,Cloudy
2025-02-06,Bus,3114.0,Cloudy
2025-02-08,Metro,201.0,Sunny
2025-02-09,Bus,4381.0,Rainy
2025-02-09,Metro,1019.0,Rainy
2025-02-11,Bus,1597.0,Sunny
2025-02-11,Metro,706.0,Sunny
2025-02-12,Bus,4602.0,Sunny
2025-02-12,Metro,206.0,Sunny
2025-02-13,Bus,1939.0,Cloudy
2025-02-13,Metro,1071.0,Cloudy
2025-02-14,Metro,3041.0,Cloudy
2025-02-15,Bus,1994.0,Sunny
2025-02-15,Metro,1619.0,Sunny
2025-02-16,Bus,2546.0,Rainy
2025-02-17,Bus,2834.0,Rainy
2025-02-17,Metro,1130.0,Rainy
2025-02-18,Bus,1293.0,Rainy
2025-02-19,Metro,2479.0,Cloudy
2025-02-20,Bus,1072.0,Sunny
2025-02-20,Metro,653.0,Sunny
2025-02-21,Bus,1795.0,Cloudy
2025-02-21,Metro,275.0,Cloudy
2025-02-22,Bus,1967.0,Rainy
2025-02-23,Bus,1664.0,Rainy
2025-02-23,Metro,269.0,Rainy
2025-02-24,Bus,1282.0,Sunny
2025-02-25,Bus,1227.0,Cloudy
2025-02-26,Bus,2128.0,Cloudy
