DemographicID,Date,City,Ward,Area_sq_km,Population,Young_Population_Rate,Adult_Population_Rate,Older_Population_Rate,LiteracyRate,GenderRatio,MedianAge,Households,EmploymentRate,PINCode
1,01-01-2025,Bengaluru,RR Nagar,6.3,36289,28.9,64.8,6.3,92,963,41,6848,78.1,560001
2,02-01-2025,Bengaluru,North,11.83,91563,18.5,72.9,8.6,81.8,961,41,17746,65.5,560066
3,03-01-2025,Bengaluru,Mahadevapura,13.32,62597,31.8,62.1,6.1,83.3,933,34,7349,61.2,560034
4,04-01-2025,Bengaluru,RR Nagar,15.01,113647,24.1,65.8,10.1,86.7,927,36,6582,76.8,560076
5,05-01-2025,Bengaluru,Yelahanka,12.75,119327,27.8,57.7,14.5,83.5,925,31,7309,70.9,560102
6,06-01-2025,Bengaluru,South,8.01,105841,28.8,60.8,10.4,83.1,979,26,23960,79.6,560048
7,07-01-2025,Bengaluru,Shivajinagar,13.17,46785,20.8,68.6,10.6,91,973,25,11505,85.9,560076
8,08-01-2025,Bengaluru,CV Raman Nagar,16.08,59245,24.8,68.4,6.8,82,951,36,25064,73.6,560066
9,09-01-2025,Bengaluru,North,6.57,94622,20.4,64.7,14.9,86.1,957,36,15861,65.5,560037
10,10-01-2025,Bengaluru,Yelahanka,15.85,38033,26.7,66.2,7.1,89.9,970,37,23543,60.2,560078
11,11-01-2025,Bengaluru,RR Nagar,17.55,19504,28.1,60.3,11.6,90.9,927,41,28604,67.1,560076
12,12-01-2025,Bengaluru,West,2.55,112646,19.9,68.9,11.2,94.6,936,40,28967,64.1,560034
13,13-01-2025,Bengaluru,Shivajinagar,10.37,44071,32.8,57.6,9.6,80.9,968,29,21674,90.4,560001
14,14-01-2025,Bengaluru,Dasarahalli,16.9,58306,28.2,59.9,11.9,82.5,935,26,6806,82.9,560034
15,15-01-2025,Bengaluru,Mahadevapura,4.49,80296,34.6,53,12.4,96,930,32,21290,87.7,560078
16,16-01-2025,Bengaluru,Hebbal,13.19,111447,34.4,48.5,17.1,83.9,962,35,18355,88.6,560102
17,17-01-2025,Bengaluru,South,2.83,90603,20.1,71.2,8.7,82.4,934,24,6326,82.1,560001
18,18-01-2025,Bengaluru,South,3.6,49195,21.9,61.2,16.9,83.3,951,30,21669,62.5,560102
19,19-01-2025,Bengaluru,East,5.45,30704,22.1,66.2,11.7,90.5,942,37,17470,73.9,560001
20,20-01-2025,Bengaluru,Dasarahalli,3.44,113448,29.4,52.8,17.8,84.4,975,27,12147,64.5,560102
21,21-01-2025,Bengaluru,West,6.37,27880,20.4,71.4,8.2,86.4,975,41,7208,59.7,560001
22,22-01-2025,Bengaluru,Bommanahalli,5.08,81653,34.5,48.4,17.1,87.1,975,36,5921,63.6,560001
23,23-01-2025,Bengaluru,West,6.92,109303,34.8,56,9.2,96.2,970,41,25688,82.4,560037
24,24-01-2025,Bengaluru,Yelahanka,11.48,89066,21.2,70.2,8.6,79.2,940,25,5643,77.9,560037
25,25-01-2025,Bengaluru,Mahadevapura,3.56,26907,19,68.9,12.1,90.8,935,36,7928,90,560048
26,26-01-2025,Bengaluru,Dasarahalli,9,94503,27.8,65.7,6.5,88.7,940,32,10693,80.8,560076
27,27-01-2025,Bengaluru,Shivajinagar,12.51,77929,22.1,67.2,10.7,84,968,26,4305,73.6,560034
28,28-01-2025,Bengaluru,RR Nagar,4.55,63745,19.2,72.2,8.6,94.7,976,31,16108,67.7,560102
29,29-01-2025,Bengaluru,CV Raman Nagar,17.75,103717,32.2,53.4,14.4,88,962,41,13810,89.7,560034
30,30-01-2025,Bengaluru,Dasarahalli,16.29,115310,34,58.4,7.6,88.5,937,33,23819,65.2,560076
31,31-01-2025,Bengaluru,RR Nagar,10.33,50914,21.5,64.9,13.6,95.2,974,25,7024,79.6,560066
32,01-02-2025,Bengaluru,Mahadevapura,12.38,52335,18.7,71.3,10,81.1,948,41,27123,72.5,560001
33,02-02-2025,Bengaluru,Hebbal,16.51,89511,19.9,62.8,17.3,78.7,943,41,8852,72.6,560001
34,03-02-2025,Bengaluru,Yelahanka,16.43,45535,23.2,60,16.8,91,962,27,15589,84.5,560078
35,04-02-2025,Bengaluru,Bommanahalli,15.9,41206,34.6,50.4,15,94.7,921,29,28135,89.4,560078
36,05-02-2025,Bengaluru,Bommanahalli,6.64,109917,31.6,52,16.4,80.1,975,25,19423,65.6,560102
37,06-02-2025,Bengaluru,Bommanahalli,5.96,104511,23.9,60.3,15.8,81.7,941,32,6274,90.9,560066
38,07-02-2025,Bengaluru,Shivajinagar,17.71,88282,24,63.9,12.1,84.3,921,27,12559,64.1,560066
39,08-02-2025,Bengaluru,South,13.79,59114,18.7,68.1,13.2,86.3,952,27,16622,88.6,560048
40,09-02-2025,Bengaluru,Yelahanka,10.56,88575,22.3,63.2,14.5,91.1,980,30,15934,72.7,560076
41,10-02-2025,Bengaluru,Dasarahalli,13.66,57363,28.6,57.4,14,87.6,962,37,14688,71.7,560066
42,11-02-2025,Bengaluru,Shivajinagar,17.08,106777,27.4,64.3,8.3,92.2,931,33,17306,76.6,560001
43,12-02-2025,Bengaluru,CV Raman Nagar,11.9,60237,23.2,68.3,8.5,86.8,948,30,20750,74.1,560037
44,13-02-2025,Bengaluru,Shivajinagar,12.31,61933,29.2,61.4,9.4,79.8,980,31,26046,68.6,560048
45,14-02-2025,Bengaluru,West,11.97,118727,20.5,72.9,6.6,79.4,946,30,27538,81.7,560102
46,15-02-2025,Bengaluru,Hebbal,2.59,116430,24.8,67.4,7.8,94.3,976,27,29507,72.5,560037
47,16-02-2025,Bengaluru,West,3.28,50662,31.7,53.9,14.4,95.4,927,38,8369,85.2,560076
