DemographicID,Date,City,Ward,Area_sq_km,Population,Young_Population_Rate,Adult_Population_Rate,Older_Population_Rate,Literacy_Rate,Gender_Ratio,Median_Age,Households,Employment_Rate,PINCode,Population_Density
1,2025-01-01,Bengaluru,RR Nagar,6.3,36289,28.9,64.8,6.3,92.0,963,41,6848,78.1,560001,5760.16
2,2025-01-02,Bengaluru,North,11.83,91563,18.5,72.9,8.6,81.8,961,41,17746,65.5,560066,7739.9
3,2025-01-03,Bengaluru,Mahadevapura,13.32,62597,31.8,62.1,6.1,83.3,933,34,7349,61.2,560034,4699.47
4,2025-01-04,Bengaluru,RR Nagar,15.01,113647,24.1,65.8,10.1,86.7,927,36,6582,76.8,560076,7571.42
5,2025-01-05,Bengaluru,Yelahanka,12.75,119327,27.8,57.7,14.5,83.5,925,31,7309,70.9,560102,9358.98
6,2025-01-06,Bengaluru,South,8.01,105841,28.8,60.8,10.4,83.1,979,26,23960,79.6,560048,13213.61
7,2025-01-07,Bengaluru,Shivajinagar,13.17,46785,20.8,68.6,10.6,91.0,973,25,11505,85.9,560076,3552.39
8,2025-01-08,Bengaluru,CV Raman Nagar,16.08,59245,24.8,68.4,6.8,82.0,951,36,25064,73.6,560066,3684.39
9,2025-01-09,Bengaluru,North,6.57,94622,20.4,64.7,14.9,86.1,957,36,15861,65.5,560037,14402.13
10,2025-01-10,Bengaluru,Yelahanka,15.85,38033,26.7,66.2,7.1,89.9,970,37,23543,60.2,560078,2399.56
11,2025-01-11,Bengaluru,RR Nagar,17.55,19504,28.1,60.3,11.6,90.9,927,41,28604,67.1,560076,1111.34
12,2025-01-12,Bengaluru,West,2.55,112646,19.9,68.9,11.2,94.6,936,40,28967,64.1,560034,44174.9
13,2025-01-13,Bengaluru,Shivajinagar,10.37,44071,32.8,57.6,9.6,80.9,968,29,21674,90.4,560001,4249.86
14,2025-01-14,Bengaluru,Dasarahalli,16.9,58306,28.2,59.9,11.9,82.5,935,26,6806,82.9,560034,3450.06
15,2025-01-15,Bengaluru,Mahadevapura,4.49,80296,34.6,53.0,12.4,96.0,930,32,21290,87.7,560078,17883.3
16,2025-01-16,Bengaluru,Hebbal,13.19,111447,34.4,48.5,17.1,83.9,962,35,18355,88.6,560102,8449.36
17,2025-01-17,Bengaluru,South,2.83,90603,20.1,71.2,8.7,82.4,934,24,6326,82.1,560001,32015.19
18,2025-01-18,Bengaluru,South,3.6,49195,21.9,61.2,16.9,83.3,951,30,21669,62.5,560102,13665.28
19,2025-01-19,Bengaluru,East,5.45,30704,22.1,66.2,11.7,90.5,942,37,17470,73.9,560001,5633.76
20,2025-01-20,Bengaluru,Dasarahalli,3.44,113448,29.4,52.8,17.8,84.4,975,27,12147,64.5,560102,32979.07
21,2025-01-21,Bengaluru,West,6.37,27880,20.4,71.4,8.2,86.4,975,41,7208,59.7,560001,4376.77
22,2025-01-22,Bengaluru,Bommanahalli,5.08,81653,34.5,48.4,17.1,87.1,975,36,5921,63.6,560001,16073.43
23,2025-01-23,Bengaluru,West,6.92,109303,34.8,56.0,9.2,96.2,970,41,25688,82.4,560037,15795.23
24,2025-01-24,Bengaluru,Yelahanka,11.48,89066,21.2,70.2,8.6,79.2,940,25,5643,77.9,560037,7758.36
25,2025-01-25,Bengaluru,Mahadevapura,3.56,26907,19.0,68.9,12.1,90.8,935,36,7928,90.0,560048,7558.15
