Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%)
1/1/2024,Bengaluru,Karnataka,37.2,30.8,34.0,49.0,3.7,6.6,54,Satisfactory,1008.0,61.3
1/2/2024,Bengaluru,Karnataka,41.1,27.2,34.2,50.7,0.0,20.8,198,Moderate,1020.1,5.7
1/3/2024,Bengaluru,Karnataka,38.2,27.5,32.8,36.1,0.0,24.4,235,Poor,1003.8,89.7
1/4/2024,Bengaluru,Karnataka,36.0,23.8,29.9,72.9,2.9,14.8,116,Moderate,1011.4,44.9
1/5/2024,Bengaluru,Karnataka,40.8,27.9,34.4,35.9,0.0,12.2,76,Satisfactory,1021.1,38.3
1/6/2024,Bengaluru,Karnataka,36.9,28.1,32.5,93.0,0.0,11.5,308,Very Poor,999.6,10.4
1/7/2024,Bengaluru,Karnataka,28.7,21.6,25.1,54.1,0.0,12.6,118,Moderate,1016.2,8.5
1/8/2024,Bengaluru,Karnataka,43.8,37.0,40.4,34.3,7.4,5.2,90,Satisfactory,1017.8,24.2
1/9/2024,Bengaluru,Karnataka,41.1,36.0,38.5,51.7,47.6,10.0,180,Moderate,1002.1,75.1
1/10/2024,Bengaluru,Karnataka,42.4,32.5,37.4,88.1,0.0,8.2,119,Moderate,1009.0,65.2
1/11/2024,Bengaluru,Karnataka,38.9,31.0,35.0,90.1,0.0,21.8,296,Poor,1019.6,35.3
1/12/2024,Bengaluru,Karnataka,42.8,28.2,35.5,86.0,0.0,4.0,120,Moderate,1004.3,40.4
1/13/2024,Bengaluru,Karnataka,44.0,37.5,40.8,58.1,9.4,11.1,166,Moderate,999.6,98.5
1/14/2024,Bengaluru,Karnataka,29.9,23.3,26.6,86.7,0.0,6.2,194,Moderate,1017.6,67.6
1/15/2024,Bengaluru,Karnataka,31.3,21.3,26.3,32.7,79.1,2.1,309,Very Poor,1023.3,65.7
1/16/2024,Bengaluru,Karnataka,26.2,11.9,19.0,52.9,0.0,8.6,207,Poor,1000.8,81.3
1/17/2024,Bengaluru,Karnataka,34.3,28.7,31.5,66.5,9.6,6.6,179,Moderate,1008.8,14.2
1/18/2024,Bengaluru,Karnataka,27.8,21.6,24.7,49.7,0.0,13.7,230,Poor,1024.9,82.3
1/19/2024,Bengaluru,Karnataka,29.1,22.9,26.0,70.0,0.0,3.0,130,Moderate,1023.9,80.9
1/20/2024,Bengaluru,Karnataka,38.9,33.9,36.4,70.3,0.0,15.5,60,Satisfactory,1006.8,66.0
1/21/2024,Bengaluru,Karnataka,44.3,33.7,39.0,90.9,0.0,18.8,242,Poor,1024.3,29.4
1/22/2024,Bengaluru,Karnataka,41.1,31.0,36.0,92.9,4.2,16.6,172,Moderate,995.8,88.8
1/23/2024,Bengaluru,Karnataka,39.1,28.7,33.9,36.3,0.0,8.9,132,Moderate,1010.9,33.2
1/24/2024,Bengaluru,Karnataka,43.2,31.0,37.1,69.5,67.7,20.9,55,Satisfactory,990.1,65.5
1/25/2024,Bengaluru,Karnataka,28.2,23.0,25.6,79.2,30.2,4.7,315,Very Poor,1023.5,34.8
1/26/2024,Bengaluru,Karnataka,38.9,32.5,35.7,49.5,0.0,6.8,349,Very Poor,1023.5,5.8
1/27/2024,Bengaluru,Karnataka,40.8,26.9,33.8,58.2,36.4,4.1,160,Moderate,1014.0,51.9
1/28/2024,Bengaluru,Karnataka,43.0,30.1,36.6,80.7,0.0,3.5,190,Moderate,998.0,28.4
1/29/2024,Bengaluru,Karnataka,43.5,36.2,39.9,71.2,2.3,18.8,49,Good,993.3,45.7
1/30/2024,Bengaluru,Karnataka,31.5,19.4,25.4,83.1,36.0,20.6,161,Moderate,1024.5,76.7
1/31/2024,Bengaluru,Karnataka,30.7,21.4,26.1,74.6,0.0,23.7,236,Poor,1012.5,68.8
2/1/2024,Bengaluru,Karnataka,30.4,22.9,26.7,34.1,4.6,17.5,299,Poor,992.8,95.4
2/2/2024,Bengaluru,Karnataka,35.3,28.7,32.0,35.4,21.6,7.6,108,Moderate,1002.4,15.0
2/3/2024,Bengaluru,Karnataka,36.0,30.3,33.1,79.8,5.9,20.5,248,Poor,1008.1,18.3
2/4/2024,Bengaluru,Karnataka,40.3,29.0,34.7,79.5,0.5,15.0,221,Poor,1011.9,87.1
2/5/2024,Bengaluru,Karnataka,29.6,19.9,24.7,47.5,0.0,24.4,176,Moderate,1016.6,96.9
2/6/2024,Bengaluru,Karnataka,38.5,31.3,34.9,44.2,0.0,2.0,234,Poor,1020.5,80.3
2/7/2024,Bengaluru,Karnataka,31.9,18.5,25.2,90.8,36.1,3.4,224,Poor,993.2,20.5
2/8/2024,Bengaluru,Karnataka,32.0,23.4,27.7,82.4,0.0,12.7,108,Moderate,1006.9,84.9
2/9/2024,Bengaluru,Karnataka,43.9,34.9,39.4,80.9,0.0,15.9,77,Satisfactory,1013.1,70.4
2/10/2024,Bengaluru,Karnataka,33.2,25.8,29.5,73.7,8.3,11.1,151,Moderate,995.5,75.1
2/11/2024,Bengaluru,Karnataka,30.9,20.6,25.7,75.4,9.0,17.6,40,Good,1023.1,33.1
2/12/2024,Bengaluru,Karnataka,31.2,20.0,25.6,88.4,8.1,10.4,98,Satisfactory,1012.4,49.3
2/13/2024,Bengaluru,Karnataka,36.6,22.3,29.4,73.7,66.7,2.5,292,Poor,1024.4,13.2
2/14/2024,Bengaluru,Karnataka,27.0,12.4,19.7,69.0,0.0,7.4,287,Poor,993.4,22.0
2/15/2024,Bengaluru,Karnataka,42.2,31.5,36.8,87.9,0.0,19.2,96,Satisfactory,1022.0,59.4
2/16/2024,Bengaluru,Karnataka,42.1,29.5,35.8,39.5,6.9,9.6,198,Moderate,1007.5,66.3
2/17/2024,Bengaluru,Karnataka,31.9,26.4,29.1,43.3,0.0,23.0,92,Satisfactory,1019.5,75.5
2/18/2024,Bengaluru,Karnataka,30.7,22.8,26.7,54.5,0.0,17.9,196,Moderate,995.9,34.5
2/19/2024,Bengaluru,Karnataka,44.0,31.7,37.9,68.8,0.0,12.7,324,Very Poor,997.9,75.7
2/20/2024,Bengaluru,Karnataka,38.3,29.0,33.7,92.0,0.0,8.0,77,Satisfactory,991.8,74.0
2/21/2024,Bengaluru,Karnataka,31.4,17.1,24.2,33.7,4.9,14.6,304,Very Poor,998.7,37.6
2/22/2024,Bengaluru,Karnataka,31.0,21.3,26.1,40.9,0.0,15.4,225,Poor,1021.0,19.4
2/23/2024,Bengaluru,Karnataka,30.7,22.9,26.8,56.3,0.0,3.9,198,Moderate,995.4,46.8
2/24/2024,Bengaluru,Karnataka,28.8,20.8,24.8,93.4,0.0,24.6,261,Poor,998.5,69.7
2/25/2024,Bengaluru,Karnataka,41.7,30.9,36.3,72.0,0.0,16.7,130,Moderate,992.9,46.3
2/26/2024,Bengaluru,Karnataka,27.0,12.9,20.0,83.3,7.6,12.1,68,Satisfactory,1002.0,56.9
2/27/2024,Bengaluru,Karnataka,27.1,17.9,22.5,81.7,1.5,6.5,326,Very Poor,993.4,20.9
2/28/2024,Bengaluru,Karnataka,41.9,32.4,37.1,76.1,0.0,16.7,205,Poor,992.5,39.3
2/29/2024,Bengaluru,Karnataka,27.2,12.5,19.9,41.4,6.5,19.9,316,Very Poor,1013.6,63.4
3/1/2024,Bengaluru,Karnataka,33.4,19.8,26.6,85.6,0.0,22.1,71,Satisfactory,994.5,73.4
3/2/2024,Bengaluru,Karnataka,26.0,19.9,23.0,30.3,10.0,13.7,128,Moderate,1000.5,19.4
3/3/2024,Bengaluru,Karnataka,41.0,28.9,34.9,42.4,3.7,4.8,160,Moderate,1024.5,79.2
3/4/2024,Bengaluru,Karnataka,37.4,27.3,32.3,65.5,0.0,23.9,56,Satisfactory,1004.3,49.3
3/5/2024,Bengaluru,Karnataka,44.8,35.1,39.9,33.8,0.0,23.8,223,Poor,1016.8,30.5
3/6/2024,Bengaluru,Karnataka,29.5,22.4,26.0,81.5,14.7,2.6,300,Poor,1019.2,39.7
3/7/2024,Bengaluru,Karnataka,27.3,18.2,22.7,61.5,0.0,20.6,256,Poor,1014.3,57.8
3/8/2024,Bengaluru,Karnataka,40.4,34.7,37.6,83.8,0.0,9.8,290,Poor,993.1,96.3
3/9/2024,Bengaluru,Karnataka,34.6,24.4,29.5,93.4,9.7,6.5,165,Moderate,997.5,69.2
3/10/2024,Bengaluru,Karnataka,43.7,38.2,40.9,43.7,0.0,11.3,237,Poor,1012.7,71.3
3/11/2024,Bengaluru,Karnataka,36.0,22.8,29.4,92.4,0.0,2.9,87,Satisfactory,1024.5,41.4
