Date,Time,Location,Ride_Request,Available_Vehicles,Completed_Ride,Cancel_Ride,Waiting_Time_min,Surge_Multiplier
2025-01-01,17:51:00,Electronic City,89.0,125.0,40.0,49.0,14.3,2.0
2025-01-01,21:46:00,Indiranagar,279.0,52.0,226.0,53.0,22.3,1.5
2025-01-02,00:46:00,BTM Layout,172.0,144.0,108.0,64.0,11.8,1.8
2025-01-02,09:39:00,Jayanagar,172.0,173.0,92.0,80.0,13.3,1.0
2025-01-02,14:35:00,Banashankari,64.0,174.0,22.0,42.0,16.4,2.0
2025-01-03,01:17:00,Rajajinagar,293.0,100.0,263.0,30.0,23.9,1.5
2025-01-03,19:32:00,HSR Layout,325.0,145.0,270.0,55.0,23.8,1.3
2025-01-04,03:53:00,Hebbal,190.0,150.0,142.0,48.0,16.2,1.0
2025-01-04,08:54:00,Marathahalli,216.0,73.0,181.0,35.0,23.9,1.3
2025-01-04,10:15:00,Banashankari,133.0,85.0,101.0,32.0,2.5,1.3
2025-01-05,07:56:00,MG Road,66.0,131.0,42.0,24.0,7.0,1.8
2025-01-05,12:35:00,Jayanagar,122.0,82.0,80.0,42.0,19.0,1.2
2025-01-06,21:51:00,Electronic City,123.0,22.0,82.0,41.0,9.1,1.5
2025-01-06,21:57:00,Banashankari,100.0,125.0,31.0,69.0,21.6,1.0
2025-01-07,04:40:00,Yelahanka,285.0,129.0,244.0,41.0,11.5,1.0
2025-01-07,07:07:00,Marathahalli,271.0,168.0,256.0,15.0,3.4,1.8
2025-01-07,09:42:00,Electronic City,196.0,119.0,147.0,49.0,22.1,1.0
2025-01-07,14:02:00,Koramangala,70.0,180.0,0.0,70.0,12.3,1.2
2025-01-07,23:00:00,Jayanagar,127.0,30.0,74.0,53.0,9.5,1.3
2025-01-08,08:56:00,JP Nagar,130.0,20.0,120.0,10.0,23.8,1.8
2025-01-08,11:43:00,Marathahalli,76.0,125.0,32.0,44.0,2.5,1.2
2025-01-09,01:15:00,Yelahanka,193.0,15.0,181.0,12.0,11.3,1.2
2025-01-09,04:14:00,Marathahalli,100.0,5.0,39.0,61.0,24.8,1.8
2025-01-09,16:22:00,Rajajinagar,176.0,122.0,151.0,25.0,21.7,1.0
2025-01-10,12:22:00,Whitefield,178.0,92.0,150.0,28.0,23.8,2.0
2025-01-11,11:31:00,Electronic City,175.0,130.0,131.0,44.0,21.7,1.0
2025-01-11,21:12:00,Indiranagar,98.0,126.0,63.0,35.0,17.4,1.2
2025-01-12,02:12:00,Malleshwaram,121.0,37.0,60.0,61.0,4.1,1.5
2025-01-12,03:04:00,Marathahalli,221.0,66.0,152.0,69.0,6.9,1.5
2025-01-12,04:16:00,Rajajinagar,140.0,25.0,103.0,37.0,6.8,1.8
2025-01-12,22:28:00,MG Road,222.0,149.0,182.0,40.0,21.9,1.0
2025-01-13,17:38:00,Malleshwaram,211.0,135.0,141.0,70.0,12.2,1.0
2025-01-14,20:53:00,Jayanagar,335.0,150.0,296.0,39.0,16.1,1.2
2025-01-15,01:11:00,Banashankari,202.0,126.0,156.0,46.0,12.7,1.3
2025-01-15,20:57:00,Jayanagar,121.0,114.0,59.0,62.0,10.9,1.2
2025-01-16,03:23:00,Marathahalli,47.0,178.0,34.0,13.0,2.6,1.0
2025-01-16,13:48:00,Rajajinagar,251.0,145.0,175.0,76.0,7.7,2.0
2025-01-17,06:02:00,JP Nagar,305.0,47.0,262.0,43.0,13.3,1.0
2025-01-17,09:47:00,Malleshwaram,229.0,39.0,201.0,28.0,19.6,1.8
2025-01-17,11:16:00,Whitefield,56.0,76.0,0.0,56.0,17.4,1.2
2025-01-17,22:32:00,Whitefield,234.0,57.0,227.0,7.0,3.5,1.0
2025-01-17,23:33:00,Marathahalli,209.0,118.0,177.0,32.0,23.9,1.5
2025-01-18,01:17:00,Rajajinagar,310.0,99.0,244.0,66.0,4.6,2.0
2025-01-18,02:29:00,Rajajinagar,56.0,69.0,0.0,56.0,19.9,1.0
2025-01-18,04:18:00,Malleshwaram,54.0,170.0,19.0,35.0,10.4,1.8
2025-01-18,09:42:00,HSR Layout,325.0,39.0,318.0,7.0,24.8,1.3
2025-01-19,04:57:00,Banashankari,36.0,159.0,0.0,36.0,8.9,1.0
2025-01-19,18:49:00,JP Nagar,153.0,143.0,79.0,74.0,12.9,1.0
2025-01-19,22:02:00,Indiranagar,89.0,165.0,23.0,66.0,12.6,1.5
2025-01-20,05:52:00,Indiranagar,161.0,163.0,105.0,56.0,16.0,1.8
2025-01-20,06:53:00,HSR Layout,67.0,11.0,6.0,61.0,20.4,1.0
2025-01-20,13:30:00,MG Road,189.0,126.0,154.0,35.0,23.2,1.5
2025-01-21,23:17:00,JP Nagar,184.0,34.0,131.0,53.0,10.9,1.3
2025-01-23,02:15:00,Malleshwaram,174.0,29.0,168.0,6.0,20.0,1.2
2025-01-23,03:33:00,Indiranagar,46.0,45.0,0.0,46.0,20.1,2.0
2025-01-23,03:55:00,BTM Layout,31.0,32.0,0.0,31.0,17.6,1.0
2025-01-23,10:51:00,Hebbal,262.0,174.0,209.0,53.0,20.2,1.0
2025-01-24,01:21:00,Rajajinagar,185.0,138.0,167.0,18.0,16.6,1.3
2025-01-24,10:10:00,Rajajinagar,168.0,138.0,105.0,63.0,15.7,1.5
2025-01-24,19:12:00,MG Road,133.0,71.0,110.0,23.0,14.7,1.8
2025-01-24,20:14:00,Koramangala,108.0,35.0,61.0,47.0,8.3,1.8
2025-01-25,01:43:00,Jayanagar,164.0,172.0,96.0,68.0,17.5,1.3
2025-01-25,09:53:00,BTM Layout,169.0,24.0,97.0,72.0,13.8,1.0
2025-01-25,23:32:00,Marathahalli,79.0,102.0,21.0,58.0,4.8,1.3
2025-01-26,03:43:00,Indiranagar,233.0,177.0,206.0,27.0,8.5,1.0
2025-01-26,04:26:00,JP Nagar,34.0,177.0,0.0,34.0,3.2,1.8
2025-01-26,11:23:00,Malleshwaram,144.0,149.0,123.0,21.0,6.7,1.2
2025-01-27,04:19:00,Koramangala,235.0,21.0,163.0,72.0,13.0,1.5
2025-01-27,05:18:00,BTM Layout,100.0,25.0,89.0,11.0,8.3,1.8
2025-01-27,08:37:00,Banashankari,264.0,21.0,245.0,19.0,11.2,1.0
2025-01-27,09:09:00,Banashankari,213.0,23.0,203.0,10.0,6.3,1.2
2025-01-27,09:49:00,Yelahanka,327.0,31.0,283.0,44.0,15.3,1.2
2025-01-27,19:55:00,HSR Layout,265.0,166.0,239.0,26.0,18.6,1.8
2025-01-28,02:56:00,Indiranagar,238.0,157.0,183.0,55.0,22.5,2.0
2025-01-28,06:04:00,Koramangala,148.0,152.0,72.0,76.0,20.9,1.3
2025-01-28,14:52:00,JP Nagar,94.0,161.0,62.0,32.0,12.5,1.8
2025-01-28,17:56:00,HSR Layout,236.0,13.0,170.0,66.0,13.6,1.8
2025-01-28,21:55:00,MG Road,155.0,47.0,136.0,19.0,12.7,2.0
2025-01-29,05:40:00,HSR Layout,152.0,108.0,124.0,28.0,15.8,1.0
2025-01-29,07:56:00,MG Road,328.0,139.0,295.0,33.0,13.0,1.5
2025-01-29,09:05:00,HSR Layout,220.0,125.0,206.0,14.0,6.2,1.3
2025-01-30,08:30:00,MG Road,36.0,97.0,0.0,36.0,18.2,1.3
2025-01-30,17:20:00,Koramangala,61.0,157.0,33.0,28.0,3.6,1.2
2025-01-31,00:44:00,Rajajinagar,95.0,41.0,15.0,80.0,19.8,1.5
2025-01-31,05:37:00,Hebbal,214.0,72.0,209.0,5.0,23.3,2.0
2025-01-31,08:48:00,Marathahalli,155.0,22.0,128.0,27.0,13.3,1.2
2025-02-01,04:42:00,HSR Layout,285.0,88.0,254.0,31.0,25.0,2.0
2025-02-01,07:03:00,JP Nagar,235.0,154.0,181.0,54.0,23.8,1.0
2025-02-02,00:45:00,BTM Layout,138.0,90.0,67.0,71.0,11.5,1.5
2025-02-02,03:47:00,MG Road,275.0,166.0,202.0,73.0,13.9,1.2
2025-02-02,12:43:00,Marathahalli,196.0,133.0,134.0,62.0,14.1,1.0
2025-02-02,18:27:00,Marathahalli,349.0,141.0,305.0,44.0,24.2,2.0
2025-02-03,05:05:00,Yelahanka,163.0,101.0,155.0,8.0,16.4,1.0
