TransitID,Date,City,RouteID,RouteName,TransportMode,SourceStop,DestinationStop,Latitude,Longitude,Distance_km,PassengerCount,TripDuration_min,Frequency_per_day,Fare_INR,VehicleCapacity,OccupancyRate,Delay_min,Status
114,2025-01-01,Bengaluru,R103,Mahadevapura - KR Market,Bus,Shivajinagar,Dasarahalli,13.056023,77.759066,29.24,277.0,36.0,28.0,18.62,50,92.5,2.0,On Time
600,2025-01-01,Bengaluru,R101,Yelahanka - Majestic,Bus,Shivajinagar,Mahadevapura,12.974801,77.475611,28.49,1726.0,46.0,11.0,77.45,150,59.25,41.0,Unknown
251,2025-01-01,Bengaluru,R101,Yelahanka - Majestic,Bus,Shivajinagar,Banashankari,13.089292,77.769159,20.04,220.0,102.0,40.0,23.56,50,40.7,26.0,On Time
923,2025-01-02,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Unknown,Hebbal,Bommanahalli,13.033722,77.518948,10.66,393.0,100.0,44.0,34.99,30,79.1,3.0,Delayed
324,2025-01-02,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Metro,Yeshwanthpur,Banashankari,13.183543,77.495207,6.82,768.0,105.0,28.0,41.44,100,44.4,29.0,On Time
101,2025-01-02,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Bus,KR Market,Electronic City,12.852191,77.799399,13.93,324.0,23.0,32.0,64.5,30,96.0,1.0,Completed
207,2025-01-02,Bengaluru,R108,Dasarahalli - Majestic,Bus,Whitefield,Bommanahalli,13.114883,77.74738,13.84,243.0,131.0,47.0,75.58,30,76.6,14.0,Completed
948,2025-01-02,Bengaluru,R107,Electronic City - Majestic,Bus,RR Nagar,Yelahanka,12.879624,77.451589,10.26,303.0,82.0,60.0,16.21,40,45.0,21.0,Completed
455,2025-01-03,Bengaluru,R107,Electronic City - Majestic,Metro,Whitefield,CV Raman Nagar,13.175271,77.608698,29.96,1483.0,69.0,48.0,56.02,50,67.2,31.0,Completed
407,2025-01-03,Bengaluru,R102,Hebbal - Shivajinagar,Bus,Electronic City,KR Market,12.86706,77.779636,13.57,181.0,37.0,13.0,74.82,50,52.3,20.0,Delayed
342,2025-01-03,Bengaluru,R103,Mahadevapura - KR Market,Metro,Yeshwanthpur,Yelahanka,13.185317,77.502726,5.93,1451.0,37.0,58.0,51.86,60,25.3,4.0,Completed
253,2025-01-04,Bengaluru,R106,Whitefield - Silk Board,Bus,Shivajinagar,Yeshwanthpur,13.122042,77.744134,3.83,926.0,130.0,34.0,74.73,30,44.2,32.0,On Time
450,2025-01-05,Bengaluru,R106,Whitefield - Silk Board,Unknown,CV Raman Nagar,Dasarahalli,13.047825,77.481622,16.25,1587.0,66.0,17.0,74.67,30,85.9,42.0,Completed
832,2025-01-05,Bengaluru,R104,Bommanahalli - Majestic,Metro,Hebbal,Shivajinagar,12.903935,77.460092,29.82,1664.0,47.0,40.0,78.4,100,61.1,25.0,Completed
762,2025-01-05,Bengaluru,R101,Yelahanka - Majestic,Metro,CV Raman Nagar,Bommanahalli,13.115495,77.627791,3.58,1530.0,112.0,42.0,20.45,150,28.9,34.0,Completed
287,2025-01-06,Bengaluru,R110,Hebbal - Yeshwanthpur,Bus,Hebbal,Silk Board,12.855788,77.527373,29.41,1407.0,117.0,51.0,12.77,100,39.0,42.0,Delayed
616,2025-01-06,Bengaluru,R102,Hebbal - Shivajinagar,Bus,CV Raman Nagar,KR Market,13.073372,77.65622,11.37,1179.0,41.0,57.0,24.52,60,45.8,14.0,Delayed
167,2025-01-06,Bengaluru,R108,Dasarahalli - Majestic,Bus,CV Raman Nagar,Hebbal,12.992023,77.546843,18.41,807.0,108.0,28.0,41.73,60,84.8,35.0,On Time
258,2025-01-06,Bengaluru,R101,Yelahanka - Majestic,Bus,Majestic,Shivajinagar,13.127765,77.789285,3.32,1168.0,64.0,14.0,37.96,40,80.5,8.0,Completed
575,2025-01-06,Bengaluru,R107,Electronic City - Majestic,Bus,Bommanahalli,Silk Board,12.873762,77.502681,4.83,1083.0,86.0,42.0,62.95,50,77.7,37.0,Cancelled
675,2025-01-06,Bengaluru,R106,Whitefield - Silk Board,Bus,Whitefield,Majestic,13.076719,77.618026,10.92,712.0,18.0,5.0,52.97,30,58.5,4.0,Cancelled
882,2025-01-08,Bengaluru,R102,Hebbal - Shivajinagar,Metro,CV Raman Nagar,KR Market,13.070427,77.460133,10.52,161.0,102.0,14.0,51.45,60,26.8,7.0,Delayed
179,2025-01-09,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Bus,Bommanahalli,Shivajinagar,13.035854,77.644363,4.65,1510.0,57.0,13.0,16.53,40,75.6,17.0,Completed
802,2025-01-09,Bengaluru,R103,Mahadevapura - KR Market,Bus,KR Market,Yelahanka,13.165802,77.676517,10.55,267.0,90.0,16.0,49.28,100,41.6,22.0,Delayed
940,2025-01-09,Bengaluru,R110,Hebbal - Yeshwanthpur,Bus,KR Market,Bommanahalli,13.013727,77.781812,13.66,1409.0,11.0,45.0,29.61,50,90.3,24.0,Completed
276,2025-01-10,Bengaluru,R106,Whitefield - Silk Board,Bus,KR Market,CV Raman Nagar,13.178255,77.787542,12.66,829.0,37.0,45.0,59.59,50,44.9,26.0,On Time
838,2025-01-12,Bengaluru,R102,Hebbal - Shivajinagar,Metro,Majestic,Yelahanka,13.117053,77.547717,14.67,1292.0,13.0,14.0,27.07,30,69.9,9.0,Unknown
625,2025-01-14,Bengaluru,R104,Bommanahalli - Majestic,Bus,Bommanahalli,Dasarahalli,12.921686,77.684472,9.46,1380.0,21.0,23.0,50.46,50,45.2,19.0,On Time
335,2025-01-14,Bengaluru,R105,RR Nagar - Banashankari,Metro,Shivajinagar,KR Market,13.099103,77.797885,26.02,129.0,10.0,16.0,32.85,60,63.8,23.0,On Time
224,2025-01-15,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Unknown,Whitefield,KR Market,13.080321,77.764035,23.95,709.0,21.0,52.0,40.08,150,6.6,34.0,Cancelled
117,2025-01-16,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Bus,Mahadevapura,Whitefield,12.927071,77.641747,18.91,559.0,76.0,53.0,47.42,40,35.0,26.0,Cancelled
950,2025-01-17,Bengaluru,R105,RR Nagar - Banashankari,Bus,Majestic,Yeshwanthpur,13.10496,77.699657,4.55,167.0,88.0,30.0,25.2,30,76.0,22.0,Completed
84,2025-01-17,Bengaluru,R109,CV Raman Nagar - Shivajinagar,Bus,Banashankari,Mahadevapura,12.94356,77.722536,19.52,734.0,51.0,27.0,19.99,60,63.7,19.0,Delayed
