Trip_ID,Date,Time,Hour,Station_ID,Station,Station_Latitude,Station_Longitude,Trip_Count,Available_Bikes,Total_Bikes,Station_Utilisation_Percentage,Trip_Duration_min,Peak_Demand,Vehicle_Type
247,2025-06-26,01:53:00,1,ST006,Yelahanka Bike Station,13.100912,77.594812,47,27.0,38,100.0,19.7,Normal,Scooter
775,2025-12-21,11:55:00,11,ST009,HSR Layout Bike Station,12.91218,77.638583,39,22.0,56,69.64,11.2,Normal,Scooter
946,2025-09-06,13:01:00,13,ST007,Hebbal Bike Station,13.035813,77.597329,31,75.0,104,29.81,10.0,Normal,Scooter
131,2025-03-27,06:14:00,6,ST012,Rajajinagar Bike Station,12.997071,77.5544,56,18.0,53,100.0,34.1,Normal,EV Bike
249,2025-08-23,00:59:00,0,ST008,Marathahalli Bike Station,12.960025,77.697892,25,7.0,38,65.79,25.1,Normal,EV Bike
749,2025-12-14,10:01:00,10,ST004,Whitefield Bike Station,12.969849,77.749745,59,49.0,60,98.33,30.9,Peak,EV Bike
240,2025-04-21,15:04:00,15,ST015,JP Nagar Bike Station,12.907017,77.583509,54,65.0,91,59.34,24.9,Normal,Scooter
294,2025-06-28,18:53:00,18,ST009,HSR Layout Bike Station,12.911758,77.639564,34,49.0,78,43.59,11.8,Peak,EV Bike
68,2025-09-05,02:49:00,2,ST004,Whitefield Bike Station,12.968939,77.75076,17,11.0,61,27.87,14.9,Normal,Scooter
906,2025-10-06,15:44:00,15,ST008,Marathahalli Bike Station,12.959569,77.696116,11,63.0,81,13.58,22.8,Normal,Scooter
149,2025-06-01,00:41:00,0,ST004,Whitefield Bike Station,12.971157,77.74881,29,36.0,79,36.71,25.4,Normal,Scooter
541,2025-01-19,22:43:00,22,ST008,Marathahalli Bike Station,12.960569,77.698886,65,29.0,72,90.28,18.6,Normal,EV Bike
981,2025-02-23,03:22:00,3,ST005,Electronic City Bike Station,12.846163,77.659346,20,10.0,30,66.67,34.8,Normal,Scooter
385,2025-07-07,19:03:00,19,ST015,JP Nagar Bike Station,12.907845,77.584688,115,6.0,47,100.0,21.1,Peak,Scooter
616,2025-03-01,05:37:00,5,ST010,Jayanagar Bike Station,12.924814,77.594439,54,70.0,102,52.94,9.4,Normal,Scooter
792,2025-02-18,05:34:00,5,ST005,Electronic City Bike Station,12.845082,77.660864,26,30.0,61,42.62,23.5,Normal,Scooter
303,2025-05-30,09:12:00,9,ST014,Banashankari Bike Station,12.926844,77.546643,104,15.0,34,100.0,15.5,Peak,Scooter
