GeoID,Date,City,Ward,Latitude,Longitude,Area_sq_km,Elevation_m,Land_Use,Green_Cover_Percentage,Road_Density_km_per_sq_km,Distance_to_City_Center_km,Zone,PINCode
38,2024-12-17, Bengaluru , Mahadevapura ,13.108560847801742,77.67848623872592,6.68,973,Mixed Use,40.4,-1.65,17.53,East,560102
727,2024-04-24, Bengaluru , Dasarahalli ,12.995355751121897,77.68015205240273,10.02,914,Mixed Use,18.6,3.96,28.22,West,560064
4,2024-10-21, Bengaluru ,,13.029176490726641,77.50773673627525,18.83,957,,47.1,7.31,34.4,South,560076
296,2024-04-29, Bengaluru , Shivajinagar ,13.063201891242377,77.72508697621512,8.98,949,,39.6,-2.78,35.11,Central,560064
60,2024-03-23, Bengaluru , Shivajinagar ,12.921864529262685,77.73698175526752,4.64,978,Residential,13.9,6.74,3.54,Central,560078
659,2024-06-05, Bengaluru , Bommanahalli ,13.028683983438142,77.79662135665679,12.14,978,Residential,27.2,3.89,-1.45,South,560048
683,2025-03-27, Bengaluru , Yelahanka ,12.942904063654534,77.47887669146485,10.25,965,Residential,15.6,4.48,1.29,North,560001
287,2025-06-11, Bengaluru , RR Nagar ,13.041403834620587,77.62510789374853,5.01,946,Institutional,14.0,-2.68,24.22,West,560034
242,2025-07-12, Bengaluru , Hebbal ,13.084746251275176,77.64596462928317,5.78,979,Mixed Use,43.9,10.24,25.23,North,560034
132,2024-10-24, Bengaluru , Hebbal ,13.008984174319743,77.51731774855881,19.76,916,Residential,47.4,11.89,27.23,North,560064
138,2025-09-30, Bengaluru ,,13.161689244870823,77.65393174154624,10.19,911,Residential,37.3,0.12,-4.72,South,560102
401,2024-03-06, Bengaluru ,,13.09643714760292,77.70463951688517,2.78,974,Institutional,18.9,13.49,13.47,South,560064
516,2025-07-04, Bengaluru , South ,13.005520911505455,77.5489229820385,13.64,857,Commercial,5.9,12.3,19.11,South,560076
188,2025-07-13, Bengaluru , North ,13.070329740844514,77.71015702004956,14.96,950,Industrial,42.2,2.8,23.3,North,560048
578,2025-06-10, Bengaluru , Yelahanka ,12.958182067597898,77.57334896087796,14.59,961,Industrial,46.7,-0.42,36.47,North,560064
641,2024-09-04, Bengaluru , CV Raman Nagar ,13.068302468641475,77.60057483041534,14.39,880,Industrial,26.3,13.25,11.4,East,560102
738,2024-06-13, Bengaluru , CV Raman Nagar ,13.028250301949265,77.76625550102597,10.65,964,Institutional,26.1,6.77,3.73,East,560076
684,2025-01-22, Bengaluru , North ,13.052251914487657,77.70545812659445,2.71,906,Commercial,33.1,9.89,22.07,North,560037
413,2025-02-09, Bengaluru , East ,12.866947052247237,77.73921835215722,5.59,935,Mixed Use,50.4,-0.69,36.11,East,560102
72,2025-04-21, Bengaluru , East ,12.91138710475774,77.79881366742289,13.77,881,Industrial,19.6,6.97,14.62,East,560064
214,2025-06-28, Bengaluru , Hebbal ,12.87381118043483,77.72410433348729,15.64,909,Institutional,18.0,5.87,35.87,North,560001
9,2024-08-14, Bengaluru , Hebbal ,13.001281506167281,77.6294372948068,4.81,908,Residential,-9.7,3.39,-0.21,North,560076
232,2024-12-03, Bengaluru , South ,13.074621078128047,77.6514611731977,19.46,966,Institutional,27.2,2.09,3.74,South,560001
58,2025-01-07, Bengaluru , East ,12.991740704486396,77.77969559358102,5.24,879,Mixed Use,25.1,10.91,0.85,East,560001
198,2024-10-08, Bengaluru ,,12.984303480306702,77.68238414898967,9.41,957,Industrial,52.7,11.44,33.55,East,560064
640,2025-05-26, Bengaluru , North ,12.990173124924722,77.64166433824933,11.65,939,Commercial,8.8,-2.41,19.55,North,560034
377,2024-06-08, Bengaluru , South ,13.039625318313123,77.46414907055456,17.43,967,Commercial,51.0,-0.83,34.93,South,560037
193,2025-03-24, Bengaluru , RR Nagar ,13.150611838184984,77.52058902937848,16.37,945,Mixed Use,7.3,10.56,38.64,West,560078
100,2025-07-15, Bengaluru , West ,12.924296921964885,77.50311747915606,-4.88,881,Residential,11.7,5.5,7.4,West,560048
679,2024-03-25, Bengaluru , CV Raman Nagar ,12.958078260985415,77.59401009725153,13.61,899,Commercial,29.7,7.49,10.0,East,560076
651,2025-05-31, Bengaluru , North ,13.145272436398747,77.6231169136773,8.86,938,Industrial,18.1,12.74,30.19,North,560037
224,2025-10-14, Bengaluru , North ,12.865381454327885,77.54761639099551,14.07,955,Industrial,44.5,4.12,31.49,North,560034
206,2024-06-25, Bengaluru , Shivajinagar ,12.936588733757617,77.70982325358256,16.29,926,Institutional,46.1,-0.97,2.26,Central,560078
749,2025-03-03, Bengaluru , North ,13.014170447950427,77.65501987388774,18.55,854,Mixed Use,15.6,1.4,21.32,North,560102
463,2024-03-11, Bengaluru , South ,12.904650127066805,77.72283946432417,4.48,913,Commercial,29.8,-1.12,15.53,South,560078
147,2025-06-17, Bengaluru , CV Raman Nagar ,13.089514677981633,77.57216369269406,15.86,923,Institutional,7.6,1.4,0.0,East,560076
21,2025-01-09,, South ,13.004160335630946,77.45632869328946,13.42,866,Commercial,10.8,1.78,-3.22,South,560037
