Date,Time,Location,Ride_Request,Available_Vehicles,Completed_Ride,Cancel_Ride,Waiting_Time_min,Surge_Multiplier
2025-06-13,05:19:00,HSR Layout,22,89.0,0.0,22,16.9,1.3
2025-04-22,02:57:00,Malleshwaram,71,36.0,49.0,22,15.6,1.8
2025-06-23,20:16:00,Rajajinagar,334,12.0,268.0,66,11.9,1.0
2025-09-24,21:24:00,Hebbal,31,179.0,0.0,31,14.5,1.0
2025-08-17,20:24:00,Rajajinagar,44,16.0,8.0,36,11.3,1.2
2025-12-23,07:42:00,BTM Layout,173,171.0,158.0,15,19.5,1.0
2025-10-29,18:39:00,Malleshwaram,328,54.0,298.0,30,8.8,1.0
2025-06-04,04:09:00,Hebbal,44,168.0,9.0,35,20.3,2.0
2025-12-07,08:42:00,BTM Layout,211,126.0,187.0,24,3.5,1.0
2025-10-06,19:14:00,JP Nagar,36,85.0,9.0,27,2.4,1.2
2025-07-22,21:56:00,Electronic City,254,40.0,231.0,23,7.7,1.3
2025-02-09,19:15:00,Banashankari,77,145.0,65.0,12,22.8,1.2
2025-11-20,22:05:00,HSR Layout,66,92.0,15.0,51,3.9,2.0
2025-02-07,11:40:00,Indiranagar,107,24.0,54.0,53,14.6,1.0
2025-12-07,10:49:00,Yelahanka,196,119.0,173.0,23,14.4,1.0
2025-07-16,08:07:00,Whitefield,245,152.0,219.0,26,18.9,1.5
2025-03-24,11:15:00,Electronic City,230,174.0,162.0,68,23.7,1.0
2025-12-27,23:47:00,Whitefield,328,88.0,318.0,10,5.4,1.2
2025-07-21,14:06:00,MG Road,185,50.0,123.0,62,12.4,1.2
2025-05-09,02:48:00,MG Road,210,106.0,184.0,26,16.4,1.2
2025-10-15,00:44:00,JP Nagar,40,140.0,4.0,36,9.0,2.0
2025-12-15,15:43:00,Marathahalli,320,34.0,312.0,8,7.9,1.8
2025-10-08,12:45:00,JP Nagar,116,148.0,59.0,57,12.1,1.2
2025-01-24,19:12:00,MG Road,133,71.0,110.0,23,14.7,1.8
2025-07-22,08:41:00,Jayanagar,21,23.0,0.0,21,3.0,1.5
2025-05-19,15:11:00,HSR Layout,205,120.0,125.0,80,11.5,1.0
2025-06-17,16:52:00,Koramangala,350,60.0,338.0,12,20.8,1.0
2025-03-28,23:46:00,Indiranagar,209,117.0,134.0,75,7.6,1.0
2025-02-07,13:11:00,Malleshwaram,278,145.0,216.0,62,8.4,1.0
2025-08-01,16:28:00,Marathahalli,261,146.0,225.0,36,5.3,1.2
2025-06-28,10:38:00,Banashankari,205,118.0,183.0,22,22.5,1.5
2025-10-09,,Hebbal,46,167.0,21.0,25,2.1,1.0
2025-12-16,02:32:00,Rajajinagar,115,136.0,88.0,27,4.7,1.0
2025-04-05,10:50:00,Malleshwaram,94,86.0,86.0,8,22.2,1.8
2025-01-25,23:32:00,Marathahalli,79,102.0,21.0,58,4.8,1.3
2025-05-28,23:07:00,Koramangala,299,118.0,274.0,25,23.7,1.3
2025-09-12,15:32:00,MG Road,281,132.0,230.0,51,21.8,1.0
2025-03-17,04:30:00,Marathahalli,192,151.0,177.0,15,19.1,1.8
2025-08-26,12:34:00,Malleshwaram,322,55.0,254.0,68,18.8,1.2
2025-11-28,02:41:00,Koramangala,250,142.0,198.0,52,18.7,1.2
2025-11-22,16:47:00,Yelahanka,66,109.0,1.0,65,9.7,1.0
2025-04-09,14:21:00,Jayanagar,214,150.0,187.0,27,8.9,1.0
2025-02-26,13:04:00,Jayanagar,207,15.0,143.0,64,10.4,1.0
2025-02-22,07:26:00,Whitefield,99,53.0,30.0,69,20.3,1.0
2025-11-02,04:42:00,Hebbal,314,52.0,260.0,54,13.2,1.0
2025-11-02,12:51:00,Indiranagar,98,164.0,73.0,25,20.6,1.0
2025-02-01,04:42:00,HSR Layout,285,88.0,254.0,31,25.0,2.0
2025-10-01,10:17:00,Hebbal,82,132.0,74.0,8,19.7,2.0
2025-10-13,01:23:00,Marathahalli,62,34.0,16.0,46,10.8,2.0
2025-12-12,07:58:00,Jayanagar,261,148.0,253.0,8,9.5,1.2
2025-11-08,21:53:00,HSR Layout,119,61.0,40.0,79,20.0,1.3
