TransitID,Date,City,RouteID,RouteName,TransportMode,SourceStop,DestinationStop,Latitude,Longitude,Distance_km,PassengerCount,TripDuration_min,Frequency_per_day,Fare_INR,VehicleCapacity,OccupancyRate,Delay_min,Status
58,2025-11-30, Bengaluru ,R108, Dasarahalli - Majestic ,Bus,Banashankari,Shivajinagar,12.944186,77.615634,17.81,134,106,42,15.98,50,54.5,34,Cancelled
31,2025-08-14, Bengaluru ,R106, Whitefield - Silk Board ,Metro,Whitefield,Yeshwanthpur,12.955641,77.774511,27.72,1193,55,52,47.33,30,71.8,29,Completed
305,2025-02-26, Bengaluru ,R103, Mahadevapura - KR Market ,Bus,Dasarahalli,Majestic,13.053719,77.510381,28.83,1690,45,20,46.18,100,47.9,16,Delayed
667,2025-02-06, Bengaluru ,R101, Yelahanka - Majestic ,Bus,KR Market,Dasarahalli,13.103228,77.453213,28.62,1120,110,9,38.18,150,86.4,41,Delayed
675,2025-01-06, Bengaluru ,R106, Whitefield - Silk Board ,Bus,Whitefield,Majestic,13.076719,77.618026,10.92,712,18,5,52.97,30,58.5,4,Cancelled
166,2025-05-24, Bengaluru ,R102, Hebbal - Shivajinagar ,Metro,Whitefield,Dasarahalli,13.117465,77.638781,7.49,1006,51,44,49.27,150,124.7,27,Cancelled
542,2025-09-30, Bengaluru ,R101, Yelahanka - Majestic ,Metro,Yelahanka,Silk Board,12.855015,77.473992,17.98,1655,28,42,66.86,100,32.6,41,Cancelled
495,2025-04-28, Bengaluru ,R106, Whitefield - Silk Board ,Bus,Shivajinagar,Majestic,13.175736,77.736667,29.24,340,117,49,70.62,150,45.9,13,Delayed
101,2025-01-02, Bengaluru ,R109, CV Raman Nagar - Shivajinagar ,Bus,KR Market,Electronic City,12.852191,77.799399,13.93,324,23,32,64.5,30,96.0,1,Completed
625,2025-01-14, Bengaluru ,R104, Bommanahalli - Majestic ,Bus,Bommanahalli,Dasarahalli,12.921686,77.684472,9.46,1380,21,23,50.46,50,45.2,19,On Time
133,2025-06-30, Bengaluru ,R103, Mahadevapura - KR Market ,Bus,Dasarahalli,Banashankari,12.885407,77.696801,9.38,1474,34,51,29.66,60,84.3,43,
327,2025-12-19, Bengaluru ,R106, Whitefield - Silk Board ,Bus,Shivajinagar,Yelahanka,12.969035,77.544029,5.8,1689,118,43,61.94,100,95.6,43,Completed
690,2025-04-23,,R105, RR Nagar - Banashankari ,Metro,Electronic City,Banashankari,12.90842,77.738334,6.01,1390,36,33,90.61,150,59.6,38,Delayed
723,2025-10-29, Bengaluru ,R110, Hebbal - Yeshwanthpur ,Bus,Dasarahalli,Silk Board,12.909396,77.646142,10.55,430,113,24,13.8,30,85.3,31,Cancelled
258,2025-01-06, Bengaluru ,R101, Yelahanka - Majestic ,Bus,Majestic,Shivajinagar,13.127765,77.789285,3.32,1168,64,14,37.96,40,80.5,8,Completed
123,2025-02-01, Bengaluru ,R109,CV Raman Nagar - Shivajinagar,Bus,Bommanahalli,Yelahanka,13.166163,77.587444,22.54,303,16,46,78.36,100,85.8,15,On Time
103,2025-12-13, Bengaluru ,R101, Yelahanka - Majestic ,Bus,Mahadevapura,Bommanahalli,13.149001,77.547053,17.63,1697,53,52,51.17,100,58.8,41,Completed
149,2025-12-20, Bengaluru ,R108, Dasarahalli - Majestic ,Metro,Hebbal,Bommanahalli,13.111303,77.783002,2.53,1182,15,15,72.57,60,1.9,34,Completed
