Record_ID,Date,Time,Zone,Area,Mobility_Demand,Trip_Count,Weather_Condition,Available_Vehicles,Delay_Minutes,Mode_of_Transportation,Latitude,Longitude,Possible_Reason
3,2025-01-01,09:00:00,North,Malleshwaram,250,186,Sunny,110,13.8,Bus,13.00113,77.563268,Normal operating conditions
2,2025-01-01,14:00:00,West,Nagarbhavi,128,114,Rainy,230,9.2,Car,12.952878,77.514841,Normal operating conditions
1,2025-01-01,17:00:00,Central,Shivajinagar,256,230,Cloudy,116,6.3,Car,12.99122,77.600067,Normal operating conditions
4,2025-01-01,19:00:00,Central,Shivajinagar,288,219,Cloudy,170,10.5,Bike,12.980078,77.604341,Normal operating conditions
8,2025-01-02,16:00:00,North,Malleshwaram,181,149,Windy,198,0.0,Car,13.000589,77.564596,Normal operating conditions
6,2025-01-02,17:00:00,South,Koramangala,211,158,Sunny,207,10.7,Car,12.932031,77.630102,Normal operating conditions
7,2025-01-02,20:00:00,West,Rajajinagar,188,151,Sunny,208,15.9,Bike,12.996353,77.554195,Normal operating conditions
5,2025-01-02,21:00:00,South,HSR Layout,257,218,Sunny,221,0.0,Metro,12.913934,77.64398,Normal operating conditions
9,2025-01-03,17:00:00,West,Rajajinagar,267,222,Sunny,197,6.6,Bus,12.988286,77.551411,Normal operating conditions
11,2025-01-03,19:00:00,Central,Richmond Town,258,210,Sunny,199,5.5,Car,12.963152,77.602607,Normal operating conditions
12,2025-01-03,19:00:00,North,Hebbal,245,211,Rainy,210,8.0,Bike,13.030405,77.598822,Normal operating conditions
10,2025-01-03,21:00:00,North,Malleshwaram,167,146,Sunny,147,7.3,Car,12.997776,77.561489,Normal operating conditions
15,2025-01-04,08:00:00,South,Koramangala,252,222,Cloudy,207,9.0,Bike,12.931218,77.622595,Normal operating conditions
16,2025-01-04,10:00:00,North,Yelahanka,217,178,Rainy,209,0.0,Scooter,13.100759,77.595918,Normal operating conditions
13,2025-01-04,14:00:00,West,Rajajinagar,118,98,Cloudy,168,8.0,Car,12.990266,77.553942,Normal operating conditions
14,2025-01-04,21:00:00,West,Nagarbhavi,198,151,Windy,200,11.8,Bus,12.95755,77.505062,Normal operating conditions
20,2025-01-05,06:00:00,North,Hebbal,188,157,Sunny,205,10.6,Bus,13.040032,77.592122,Normal operating conditions
18,2025-01-05,10:00:00,Central,Shivajinagar,235,215,Cloudy,136,10.3,Car,12.982851,77.609268,Normal operating conditions
19,2025-01-05,16:00:00,North,Hebbal,215,187,Sunny,139,9.4,Metro,13.033202,77.593016,Normal operating conditions
17,2025-01-05,19:00:00,North,Yelahanka,177,139,Windy,164,11.7,Car,13.095985,77.592295,Normal operating conditions
24,2025-01-06,08:00:00,North,Malleshwaram,272,223,Rainy,168,7.6,Scooter,13.001386,77.566204,Normal operating conditions
22,2025-01-06,08:00:00,South,Jayanagar,306,263,Sunny,215,9.4,Metro,12.935002,77.594651,Normal operating conditions
21,2025-01-06,09:00:00,Central,Richmond Town,300,261,Sunny,101,9.8,Scooter,12.963692,77.594401,Normal operating conditions
23,2025-01-06,16:00:00,East,Marathahalli,235,183,Cloudy,219,7.3,Scooter,12.964386,77.695045,Normal operating conditions
26,2025-01-07,12:00:00,North,Hebbal,143,104,Cloudy,96,9.0,Bike,13.034904,77.599463,Normal operating conditions
27,2025-01-07,16:00:00,North,Yelahanka,207,170,Sunny,121,3.6,Metro,13.105914,77.598651,Normal operating conditions
25,2025-01-07,21:00:00,North,Hebbal,181,165,Sunny,93,13.6,Car,13.036962,77.596627,Normal operating conditions
28,2025-01-07,21:00:00,North,Malleshwaram,189,144,Sunny,223,10.8,Car,12.998327,77.569861,Normal operating conditions
30,2025-01-08,06:00:00,Central,MG Road,227,184,Cloudy,102,7.7,Scooter,12.979153,77.610043,Normal operating conditions
31,2025-01-08,08:00:00,East,Whitefield,319,280,Cloudy,145,6.9,Bike,12.971927,77.74754,Normal operating conditions
29,2025-01-08,18:00:00,West,Rajajinagar,205,170,Sunny,107,4.9,Bus,12.991396,77.557834,Normal operating conditions
32,2025-01-08,19:00:00,West,Vijayanagar,223,173,Rainy,189,5.7,Scooter,12.974062,77.542555,Normal operating conditions
36,2025-01-09,07:00:00,East,Indiranagar,268,215,Windy,174,11.8,Bike,12.981418,77.641135,Normal operating conditions
34,2025-01-09,10:00:00,North,Yelahanka,212,175,Cloudy,173,12.7,Bus,13.102491,77.59796,Normal operating conditions
33,2025-01-09,14:00:00,West,Rajajinagar,110,83,Sunny,178,5.6,Bike,12.995821,77.548246,Normal operating conditions
35,2025-01-09,21:00:00,North,Hebbal,174,154,Cloudy,160,6.5,Car,13.041585,77.592426,Normal operating conditions
37,2025-01-10,08:00:00,East,Indiranagar,328,250,Sunny,227,7.4,Metro,12.977412,77.646416,Normal operating conditions
39,2025-01-10,08:00:00,West,Rajajinagar,201,149,Sunny,157,8.5,Car,12.989914,77.55422,Normal operating conditions
38,2025-01-10,17:00:00,West,Nagarbhavi,299,249,Rainy,144,4.4,Metro,12.960822,77.505647,Normal operating conditions
40,2025-01-10,19:00:00,North,Hebbal,208,180,Sunny,181,10.7,Bike,13.040271,77.599297,Normal operating conditions
43,2025-01-11,06:00:00,South,HSR Layout,207,162,Sunny,95,7.9,Bike,12.906394,77.635295,Normal operating conditions
42,2025-01-11,10:00:00,South,Koramangala,252,225,Sunny,195,6.5,Metro,12.930528,77.618796,Normal operating conditions
41,2025-01-11,17:00:00,East,Marathahalli,253,197,Sunny,106,5.7,Bike,12.954458,77.700952,Normal operating conditions
44,2025-01-11,18:00:00,Central,Richmond Town,240,188,Foggy,179,11.1,Car,12.955445,77.595952,Normal operating conditions
45,2025-01-12,06:00:00,North,Malleshwaram,163,137,Windy,170,6.4,Car,13.007075,77.56892,Normal operating conditions
48,2025-01-12,10:00:00,South,Jayanagar,279,217,Rainy,121,7.2,Metro,12.926351,77.597887,Normal operating conditions
47,2025-01-12,12:00:00,South,HSR Layout,173,155,Sunny,201,7.6,Metro,12.910637,77.638217,Normal operating conditions
46,2025-01-12,19:00:00,West,Rajajinagar,243,217,Windy,185,14.3,Bus,12.992162,77.548656,Normal operating conditions
49,2025-01-13,06:00:00,North,Yelahanka,188,143,Cloudy,177,11.2,Car,13.097571,77.592284,Normal operating conditions
50,2025-01-13,08:00:00,Central,Richmond Town,285,207,Cloudy,120,13.4,Bike,12.961831,77.600307,Normal operating conditions
52,2025-01-13,14:00:00,West,Vijayanagar,114,100,Sunny,151,16.3,Metro,12.966052,77.544842,Normal operating conditions
51,2025-01-13,19:00:00,West,Rajajinagar,172,125,Foggy,167,6.8,Car,12.988051,77.553392,Normal operating conditions
55,2025-01-14,08:00:00,North,Yelahanka,246,218,Windy,112,12.4,Metro,13.095557,77.601927,Normal operating conditions
54,2025-01-14,09:00:00,North,Yelahanka,247,205,Sunny,160,9.4,Scooter,13.10185,77.594381,Normal operating conditions
56,2025-01-14,10:00:00,West,Vijayanagar,138,120,Sunny,223,4.4,Car,12.974156,77.547975,Normal operating conditions
53,2025-01-14,17:00:00,East,Indiranagar,283,242,Sunny,228,16.1,Scooter,12.979664,77.637646,Normal operating conditions
58,2025-01-15,08:00:00,East,Marathahalli,237,204,Windy,192,12.8,Car,12.960379,77.703398,Normal operating conditions
59,2025-01-15,10:00:00,South,Koramangala,186,148,Sunny,141,6.6,Car,12.933177,77.624802,Normal operating conditions
60,2025-01-15,17:00:00,North,Malleshwaram,252,191,Rainy,169,3.8,Bus,13.006743,77.566133,Normal operating conditions
57,2025-01-15,19:00:00,South,Koramangala,242,177,Foggy,210,6.2,Bike,12.934373,77.628246,Normal operating conditions
