Record_ID,Date,Zone,Area,Mode_of_Transportation,Income_Group,Service_Coverage,Travel_Time_min,Mobility_Access_Score,Latitude,Longitude
29,2025-01-01,East,Whitefield,Bike,High Income,60.83,31.29,58.06,12.969262,77.757778
684,2025-01-02,Central,Richmond Town,Car,High Income,72.65,18.78,72.91,12.957513,77.605453
277,2025-01-02,South,HSR Layout,Metro,Middle Income,72.16,31.29,63.74,12.907421,77.638102
692,2025-01-02,South,HSR Layout,Scooter,Middle Income,47.01,48.71,38.71,12.915255,77.643757
353,2025-01-03,East,Indiranagar,Metro,Low Income,71.49,23.63,68.87,12.983635,77.642125
53,2025-01-03,South,Koramangala,Scooter,High Income,80.25,34.8,65.27,12.936886,77.620295
837,2025-01-04,East,Indiranagar,Scooter,Middle Income,68.9,34.56,59.76,12.970903,77.634722
158,2025-01-04,East,Marathahalli,Bus,Middle Income,77.11,39.22,60.54,12.958708,77.697859
871,2025-01-05,East,Whitefield,Bike,Low Income,63.14,35.84,55.97,12.977588,77.755595
309,2025-01-06,East,Marathahalli,Car,Low Income,46.86,45.06,41.24,12.962902,77.701678
294,2025-01-06,North,Hebbal,Bike,Middle Income,56.12,45.17,45.79,13.043055,77.600238
492,2025-01-06,North,Malleshwaram,Car,Middle Income,54.4,50.2,41.35,13.002144,77.564744
615,2025-01-06,South,HSR Layout,Car,Middle Income,60.63,32.74,56.92,12.918554,77.636508
123,2025-01-06,South,Koramangala,Scooter,High Income,70.97,39.29,57.42,12.928045,77.626958
379,2025-01-06,West,Nagarbhavi,Bus,Middle Income,54.98,35.83,51.89,12.954732,77.510282
854,2025-01-07,Central,Richmond Town,Scooter,Low Income,70.61,39.12,57.36,12.966397,77.594834
780,2025-01-07,Central,Shivajinagar,Metro,Middle Income,71.58,41.13,56.41,12.983121,77.605749
962,2025-01-07,Central,Shivajinagar,Metro,Middle Income,74.84,41.29,57.93,12.981932,77.601362
435,2025-01-07,East,Marathahalli,Scooter,High Income,58.08,35.29,53.83,12.964522,77.700943
700,2025-01-07,East,Whitefield,Bike,Middle Income,67.12,40.18,54.86,12.966647,77.746737
515,2025-01-07,South,Koramangala,Scooter,High Income,62.54,42.77,50.72,12.929249,77.618424
892,2025-01-08,South,HSR Layout,Scooter,High Income,68.03,36.58,57.88,12.915901,77.633822
547,2025-01-10,Central,Richmond Town,Bike,Middle Income,62.4,30.57,59.36,12.959207,77.603554
846,2025-01-10,West,Vijayanagar,Scooter,Middle Income,51.99,31.14,53.75,12.974772,77.548193
600,2025-01-11,Central,Shivajinagar,Bus,Middle Income,64.19,31.46,59.63,12.988962,77.612326
958,2025-01-11,East,Whitefield,Metro,High Income,82.69,41.93,61.4,12.977137,77.743301
214,2025-01-11,West,Rajajinagar,Car,Low Income,48.24,42.52,43.75,12.986554,77.550136
221,2025-01-11,West,Rajajinagar,Metro,Low Income,60.35,48.33,45.65,12.988791,77.548068
991,2025-01-12,West,Rajajinagar,Bus,Middle Income,53.35,36.53,50.58,12.997912,77.54853
373,2025-01-13,East,Marathahalli,Car,High Income,60.74,37.58,53.52,12.951813,77.699333
284,2025-01-13,East,Whitefield,Car,High Income,67.37,46.65,50.36,12.965839,77.74311
632,2025-01-13,South,Koramangala,Metro,Low Income,61.91,39.39,52.82,12.929847,77.629168
905,2025-01-13,West,Nagarbhavi,Bike,High Income,59.42,44.92,47.63,12.961429,77.516319
39,2025-01-14,Central,MG Road,Metro,High Income,82.04,40.9,61.81,12.973285,77.60956
